energy,unc_en,intensity_%,unc_i,type,start level H-l [sec],start level energy  [keV],  end level energy  [keV],  end level H-l  [sec], multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
1.6,0.1,,,,G,,2707.397,2705.668,M1,,,,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
120.23,0.03,0.0171,0.0009,,G,,2659.857,2539.672,M1(+E2),-0.1,3,0.28,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
133.333,0.007,0.0746,0.0015,,G,,2926.7465,2793.42,[M1],,,0.207,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
219.348,0.008,0.073,0.005,,G,,2926.7465,2707.397,[M1],,,0.0539,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
221.078,0.01,0.0685,0.001,,G,,2926.7465,2705.668,[M1],,,0.0527,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
229.42,0.022,0.012,0.0013,,G,,2479.933,2250.549,[E2],,,0.0801,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
264.25,0.06,0.0061,0.0006,,G,,,,,,,,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
266.914,0.012,0.041,0.004,,G,,2926.7465,2659.857,[E1],,,0.01057,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
295.42,0.18,0.00105,0.00007,,G,,2078.485,1783.491,(E1),,,0.00805,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
310.4,0.6,0.00009,0.00004,,G,,1783.491,1475.79,[E2],,,0.029,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
341.3,0.1,0.0022,0.0005,,G,,2561.284,2220.068,[M1],,,0.01715,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
356.42,0.07,0.0043,0.0003,,G,,,,,,,,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
360.23,0.08,0.008,0.005,,G,,2793.42,2433.23,[M1],,,0.01496,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
365.448,0.011,0.094,0.005,,G,,2926.7465,2561.284,[M1],,,0.01443,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
387.075,0.009,0.0525,0.0009,,G,,2926.7465,2539.672,[E1],,,0.00399,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
396.894,0.022,0.037,0.004,,G,,2876.808,2479.933,M1+E2,,,0.0125,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
409.38,0.04,0.0064,0.0007,,G,,2659.857,2250.549,E1(+M2),-0.029,23,0.0035,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
409.6,0.1,0.0039,0.0005,,G,,2842.62,2433.23,[M2],,,0.0396,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
446.812,0.003,3.7,0.05,,G,,2926.7465,2479.933,M1+E2,-0.39,2,0.00883,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
460.85,0.08,0.0052,0.0015,,G,,2539.672,2078.485,E2,,,0.00845,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
467.01,0.04,0.0252,0.0018,,G,,2250.549,1783.491,E2,,,0.00812,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
493.38,0.05,0.0097,0.0011,,G,,2926.7465,2433.23,[E2],,,0.00692,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
544.56,0.04,0.018,0.003,,G,,2707.397,2162.8012,M1+E2,0.21,11,0.00541,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
572.7,0.1,0.0175,0.0012,,G,,,,,,,,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
573,0.4,0.0172,0.001,,G,,2793.42,2220.068,M1+E2,-0.3,3,0.00478,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
603.08,0.2,0.011,0.008,,G,,2078.485,1475.79,E1(+M2),-0.14,22,0.0016,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
620.3553,0.0017,2.73,0.08,,G,,2162.8012,1542.4438,M1+E2,-0.5,5,0.00391,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
626.256,0.01,0.217,0.016,,G,,2876.808,2250.549,E2,,,0.00357,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
630.62,0.05,0.033,0.005,,G,,2793.42,2162.8012,M1(+E2),0.02,7,0.00382,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
647.9,0.4,0.0177,0.0005,,G,,,,,,,,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
651.3,0.5,0.0028,0.0007,,G,,2433.23,1783.491,[M1],,,0.00354,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
657.76,0.0011,95.61,0.09,,G,,657.7621,0,E2,,,0.00314,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
666.9,0.09,0.029,0.013,,G,,,,,,,,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
676.59,0.07,0.143,0.01,,G,,,,,,,,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
677.6217,0.0012,10.7,0.05,,G,,2220.068,1542.4438,M1+E2,-0.34,2,0.0032,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
687.0091,0.0018,6.53,0.03,,G,,2162.8012,1475.79,M1+E2,-1.69,3,0.00289,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
706.676,0.0015,16.69,0.07,,G,,2926.7465,2220.068,M1+E2,-1.15,6,0.00275,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
708.133,0.02,0.23,0.05,,G,,2250.549,1542.4438,M1+E2,-0.14,3,0.00291,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
714.94,0.01,0.0094,0.0023,,G,,2793.42,2078.485,[E1],,,9.54E-04,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
744.2755,0.0018,4.77,0.03,,G,,2220.068,1475.79,E2,,,0.00229,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
763.9424,0.0017,22.6,0.07,,G,,2926.7465,2162.8012,E2,,,0.00215,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
774.71,0.07,0.006,0.003,,G,,2250.549,1475.79,E2,,,0.00207,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
818.0244,0.0018,7.43,0.04,,G,,1475.79,657.7621,M1+E2,-1.36,6,0.00191,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
884.6781,0.0013,75,1.1,,G,,1542.4438,657.7621,E2,,,1.51E-03,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
890.7,0.5,0.0009,0.0004,,G,,2433.23,1542.4438,[M1],,,1.72E-03,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
937.485,0.003,35,0.3,,G,,2479.933,1542.4438,E2,,,1.32E-03,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
957.38,0.06,0.0095,0.0018,,G,,2433.23,1475.79,M1+E2,-0.9,7,0.00137,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
997.246,0.014,0.13,0.004,,G,,2539.672,1542.4438,E1(+M2),-0.03,5,4.91E-04,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
1018.94,0.04,0.0142,0.0007,,G,,2561.284,1542.4438,M1+E2,-0.6,4,0.00123,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
1050.4,0.3,0.0076,0.001,,G,,,,,,,,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
1085.447,0.014,0.073,0.004,,G,,2561.284,1475.79,E2,,,9.52E-04,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
1117.48,0.03,0.0494,0.0009,,G,,2659.857,1542.4438,E1,,,4.01E-04,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
1125.709,0.02,0.0308,0.0013,,G,,1783.491,657.7621,M1+E2,0.28,4,1.01E-03,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,01-Aug-11,G. G~URDAL and F.G. KONDEV,22/03/2024
