energy,unc_en,intensity_%,unc_i,type,start level H-l [sec],start level energy  [keV],  end level energy  [keV],  end level H-l  [sec], multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
13.81,0.02,,,,G,,281.363,267.566,,,,,,95,146,Am,,0,,5/2-,432.6,,6,Y,13651526176.6085,18934155.5847552,A,100,,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2024-03-22
26.3446,0.0002,2.27,0.12212817037850031,0.0000000672,G,0.000000004,59.54090,33.19632,E1,,,8,,95,146,Am,,0,,5/2-,432.6,,6,Y,13651526176.6085,18934155.5847552,A,100,,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2024-03-22
27.02,0.007,,,,G,,102.959,75.900,,,,,,95,146,Am,,0,,5/2-,432.6,,6,Y,13651526176.6085,18934155.5847552,A,100,,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2024-03-22
31.4,,,,,G,,546.12,514.20,,,,,,95,146,Am,,0,,5/2-,432.6,,6,Y,13651526176.6085,18934155.5847552,A,100,,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2024-03-22
32.183,,0.0174,0.00043620637317673384,,G,,,,,,,,,95,146,Am,,0,,5/2-,432.6,,6,Y,13651526176.6085,18934155.5847552,A,100,,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2024-03-22
33.196,0.001,0.126,0.0032538592471094995,0.000000004,G,67658049289525.25,33.19632,0.0,M1+E2,0.13,3,185,,95,146,Am,,0,,5/2-,432.6,,6,Y,13651526176.6085,18934155.5847552,A,100,,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2024-03-22
38.54,0.03,,,,G,,370.931,332.382,,,,,,95,146,Am,,0,,5/2-,432.6,,6,Y,13651526176.6085,18934155.5847552,A,100,,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2024-03-22
42.704,0.005,0.0055,0.0011013741416975433,,G,0.000000004,75.900,33.19632,(M1+E2),0.13,AP,80,,95,146,Am,,0,,5/2-,432.6,,6,Y,13651526176.6085,18934155.5847552,A,100,,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2024-03-22
43.42,0.003,0.073,0.008033237205510614,,G,0.0000000672,102.959,59.54090,M1+E2,0.41,2,168,,95,146,Am,,0,,5/2-,432.6,,6,Y,13651526176.6085,18934155.5847552,A,100,,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2024-03-22
51.01,0.03,0.000026,0.000012002816336177106,,G,,332.382,281.363,E1,,,0.767,,95,146,Am,,0,,5/2-,432.6,,6,Y,13651526176.6085,18934155.5847552,A,100,,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2024-03-22
54,,,,,G,,129.99,75.900,,,,,,95,146,Am,,0,,5/2-,432.6,,6,Y,13651526176.6085,18934155.5847552,A,100,,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2024-03-22
55.56,0.02,0.0181,0.001809077389168302,,G,,158.500,102.959,M1+E2,0.46,4,67,,95,146,Am,,0,,5/2-,432.6,,6,Y,13651526176.6085,18934155.5847552,A,100,,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2024-03-22
56.8,,,,,G,,324.421,267.566,,,,,,95,146,Am,,0,,5/2-,432.6,,6,Y,13651526176.6085,18934155.5847552,A,100,,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2024-03-22
57.85,0.05,0.0052,0.0015009010626953398,,G,,,,,,,,,95,146,Am,,0,,5/2-,432.6,,6,Y,13651526176.6085,18934155.5847552,A,100,,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2024-03-22
59.5409,0.0001,35.9,0.3657608508301565,0.0000000672,G,67658049289525.25,59.54090,0.0,E1,,,1.16,,95,146,Am,,0,,5/2-,432.6,,6,Y,13651526176.6085,18934155.5847552,A,100,,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2024-03-22
61.46,,,,,G,,191.55,129.99,,,,,,95,146,Am,,0,,5/2-,432.6,,6,Y,13651526176.6085,18934155.5847552,A,100,,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2024-03-22
64.83,0.02,0.000145,0.000018058308337161595,,G,,332.382,267.566,E1,,,0.408,,95,146,Am,,0,,5/2-,432.6,,6,Y,13651526176.6085,18934155.5847552,A,100,,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2024-03-22
67.45,0.05,0.00042,0.00010008816113806868,,G,,226.005,158.500,(M1+E2),0.46,12,31,,95,146,Am,,0,,5/2-,432.6,,6,Y,13651526176.6085,18934155.5847552,A,100,,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2024-03-22
69.76,0.03,0.0029,0.0004010498722104272,,G,0.000000004,102.959,33.19632,(E1),,,0.336,,95,146,Am,,0,,5/2-,432.6,,6,Y,13651526176.6085,18934155.5847552,A,100,,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2024-03-22
75.8,0.2,0.00059,0.000059294266164613257,,G,67658049289525.25,75.900,0.0,(E2),,,54.6,,95,146,Am,,0,,5/2-,432.6,,6,Y,13651526176.6085,18934155.5847552,A,100,,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2024-03-22
78.1,,,,,G,,799.82,721.961,,,,,,95,146,Am,,0,,5/2-,432.6,,6,Y,13651526176.6085,18934155.5847552,A,100,,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2024-03-22
79.1,,,,,G,,305.05,226.005,,,,,,95,146,Am,,0,,5/2-,432.6,,6,Y,13651526176.6085,18934155.5847552,A,100,,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2024-03-22
92.1,,,,,G,,359.92,267.566,,,,,,95,146,Am,,0,,5/2-,432.6,,6,Y,13651526176.6085,18934155.5847552,A,100,,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2024-03-22
96.7,0.2,,,,G,0.000000004,129.99,33.19632,,,,,,95,146,Am,,0,,5/2-,432.6,,6,Y,13651526176.6085,18934155.5847552,A,100,,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2024-03-22
98.97,0.02,0.0203,0.0004485632619820754,,G,0.0000000672,158.500,59.54090,E2,,,15.6,,95,146,Am,,0,,5/2-,432.6,,6,Y,13651526176.6085,18934155.5847552,A,100,,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2024-03-22
102.98,0.02,0.0195,0.000445,,G,67658049289525.25,102.959,0.0,E1,,,0.121,,95,146,Am,,0,,5/2-,432.6,,6,Y,13651526176.6085,18934155.5847552,A,100,,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2024-03-22
106.42,0.05,0.000015,0.00000015,,G,,,,,,,,,95,146,Am,,0,,5/2-,432.6,,6,Y,13651526176.6085,18934155.5847552,A,100,,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2024-03-22
109.7,0.07,0.0000049,0.000000049,,G,,434.12,324.421,[E2],,,9.67,,95,146,Am,,0,,5/2-,432.6,,6,Y,13651526176.6085,18934155.5847552,A,100,,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2024-03-22
115.54,,,,,G,,191.55,75.900,,,,,,95,146,Am,,0,,5/2-,432.6,,6,Y,13651526176.6085,18934155.5847552,A,100,,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2024-03-22
120.36,0.08,0.0000045,0.000000045,,G,,444.78,324.421,,,,,,95,146,Am,,0,,5/2-,432.6,,6,Y,13651526176.6085,18934155.5847552,A,100,,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2024-03-22
