energy,unc_en,intensity_%,unc_i,type,start level H-l [sec],start level energy  [keV],  end level energy  [keV],  end level H-l  [sec], multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
33.568,0.01,0.19962,0.0223661977099372,,G,,133.5152,99.952,M1,,,4.79,,58,86,Ce,,0,,0+,284.91,,5,d,24616224,4320,B-,100,,318.6,8,59,85,Pr,1-Dec-2000,A.A. Sonzogni,2024-03-22
40.98,0.1,0.257288,0.015963571655491136,,G,432,99.952,59.03,M1+E2,0.042,18,2.79,,58,86,Ce,,0,,0+,284.91,,5,d,24616224,4320,B-,100,,318.6,8,59,85,Pr,1-Dec-2000,A.A. Sonzogni,2024-03-22
53.395,0.005,0.09981,0.007895427094210927,,G,,133.5152,80.120,M1,,,8.09,,58,86,Ce,,0,,0+,284.91,,5,d,24616224,4320,B-,100,,318.6,8,59,85,Pr,1-Dec-2000,A.A. Sonzogni,2024-03-22
59.03,0.03,0.00097592,0.00006801336633339068,432,G,1036.8,59.03,0.0,M3,,,1258,,58,86,Ce,,0,,0+,284.91,,5,d,24616224,4320,B-,100,,318.6,8,59,85,Pr,1-Dec-2000,A.A. Sonzogni,2024-03-22
80.12,0.005,1.36407,0.0588388043726247,,G,1036.8,80.120,0.0,M1,,,2.488,,58,86,Ce,,0,,0+,284.91,,5,d,24616224,4320,B-,100,,318.6,8,59,85,Pr,1-Dec-2000,A.A. Sonzogni,2024-03-22
99.961,0.015,0.039924,0.00447323954198744,,G,1036.8,99.952,0.0,E2,,,2.144,,58,86,Ce,,0,,0+,284.91,,5,d,24616224,4320,B-,100,,318.6,8,59,85,Pr,1-Dec-2000,A.A. Sonzogni,2024-03-22
133.515,0.002,11.09,0.19467616700561988,,G,1036.8,133.5152,0.0,M1,,,0.579,,58,86,Ce,,0,,0+,284.91,,5,d,24616224,4320,B-,100,,318.6,8,59,85,Pr,1-Dec-2000,A.A. Sonzogni,2024-03-22
5.637,,1.514806347771816,0.06314896182070501,,X,,,,,,,,,58,86,Ce,,0,,0+,284.91,,5,d,24616224,4320,B-,100,,318.6,8,59,85,Pr,1-Dec-2000,A.A. Sonzogni,2024-03-22
35.551,,2.4646642472104143,0.05205634182136806,,X,,,,,,,,,58,86,Ce,,0,,0+,284.91,,5,d,24616224,4320,B-,100,,318.6,8,59,85,Pr,1-Dec-2000,A.A. Sonzogni,2024-03-22
36.027,,4.500847785263722,0.09281538967714789,,X,,,,,,,,,58,86,Ce,,0,,0+,284.91,,5,d,24616224,4320,B-,100,,318.6,8,59,85,Pr,1-Dec-2000,A.A. Sonzogni,2024-03-22
40.857,,1.369255510205306,0.03184871053439456,,X,,,,,,,,,58,86,Ce,,0,,0+,284.91,,5,d,24616224,4320,B-,100,,318.6,8,59,85,Pr,1-Dec-2000,A.A. Sonzogni,2024-03-22
41.266,,1.7197849208178642,0.03941176121556081,,X,,,,,,,,,58,86,Ce,,0,,0+,284.91,,5,d,24616224,4320,B-,100,,318.6,8,59,85,Pr,1-Dec-2000,A.A. Sonzogni,2024-03-22
41.766,,0.3505294106125583,0.01064647013407902,,X,,,,,,,,,58,86,Ce,,0,,0+,284.91,,5,d,24616224,4320,B-,100,,318.6,8,59,85,Pr,1-Dec-2000,A.A. Sonzogni,2024-03-22

