energy,unc_en,intensity_%,unc_i,type,start level H-l [sec],start level energy  [keV],  end level energy  [keV],  end level H-l  [sec], multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
4.2,,,,,G,,391.5847,387.419,[E1],,,,,96,147,Cm,,0,,5/2+,29.1,,1,Y,918306545.8606272,3155692.5974592,A,99.71,0.03,6168.8,10,94,145,Pu,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-03-22
7.86,0.003,0.014957,0.000005,,G,,7.8607,0.0,M1+E2,0.055,3,5.7E3,,96,147,Cm,,0,,5/2+,29.1,,1,Y,918306545.8606272,3155692.5974592,A,99.71,0.03,6168.8,10,94,145,Pu,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-03-22
18.43,,,,,G,,75.7055,57.2750,(M1+E2),,,,,96,147,Cm,,0,,5/2+,29.1,,1,Y,918306545.8606272,3155692.5974592,A,99.71,0.03,6168.8,10,94,145,Pu,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-03-22
44.663,0.005,0.13,0.02,,G,0.0000000012,330.124,285.4594,M1+E2,0.20,3,86,,96,147,Cm,,0,,5/2+,29.1,,1,Y,918306545.8606272,3155692.5974592,A,99.71,0.03,6168.8,10,94,145,Pu,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-03-22
49.412,0.004,0.1994,0.002,,G,,57.2750,7.8607,M1+E2,0.50,3,126,,96,147,Cm,,0,,5/2+,29.1,,1,Y,918306545.8606272,3155692.5974592,A,99.71,0.03,6168.8,10,94,145,Pu,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-03-22
57.273,0.004,0.04986,0.00005,,G,,57.2750,0.0,E2,,,222,,96,147,Cm,,0,,5/2+,29.1,,1,Y,918306545.8606272,3155692.5974592,A,99.71,0.03,6168.8,10,94,145,Pu,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-03-22
57.3,,0.08974,0.00009,,G,,387.419,330.124,[M1+(E2)],,,28.6,,96,147,Cm,,0,,5/2+,29.1,,1,Y,918306545.8606272,3155692.5974592,A,99.71,0.03,6168.8,10,94,145,Pu,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-03-22
61.46,0.002,0.015,0.002,,G,,391.5847,330.124,E1,,,0.473,,96,147,Cm,,0,,5/2+,29.1,,1,Y,918306545.8606272,3155692.5974592,A,99.71,0.03,6168.8,10,94,145,Pu,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-03-22
67.841,0.007,0.2,0.05,,G,,75.7055,7.8607,E2,,,98.5,,96,147,Cm,,0,,5/2+,29.1,,1,Y,918306545.8606272,3155692.5974592,A,99.71,0.03,6168.8,10,94,145,Pu,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-03-22
88.06,0.03,0.0015954,0.0000005,,G,,163.755,75.7055,M1+E2,0.50,,12.26,,96,147,Cm,,0,,5/2+,29.1,,1,Y,918306545.8606272,3155692.5974592,A,99.71,0.03,6168.8,10,94,145,Pu,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-03-22
101.96,0.02,0.0079768,0.0000024,,G,0.0000000012,387.419,285.4594,E2,,,14.42,,96,147,Cm,,0,,5/2+,29.1,,1,Y,918306545.8606272,3155692.5974592,A,99.71,0.03,6168.8,10,94,145,Pu,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-03-22
