energy,unc_en,intensity_%,unc_i,type,start level H-l [sec],start level energy  [keV],  end level energy  [keV],  end level H-l  [sec], multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
14.4129,0.0006,9.16,0.15,0.0000000983,G,,14.4128,0.0,M1+E2,0.00223,18,8.18,,27,30,Co,,0,,7/2-,271.74,,6,d,23478336,5184,EC,100,,836.4,6,26,31,Fe,24-Sep-1998,M. R. BHAT,2024-03-21
122.06065,0.00012,85.6,0.17,0.000000009,G,0.0000000983,136.4737,14.4128,M1+E2,0.120,1,0.0240,,27,30,Co,,0,,7/2-,271.74,,6,d,23478336,5184,EC,100,,836.4,6,26,31,Fe,24-Sep-1998,M. R. BHAT,2024-03-21
136.47356,0.00029,10.68,0.08,0.000000009,G,,136.4737,0.0,E2,,,0.137,,27,30,Co,,0,,7/2-,271.74,,6,d,23478336,5184,EC,100,,836.4,6,26,31,Fe,24-Sep-1998,M. R. BHAT,2024-03-21
230.4,0.4,0.0004,0.0004,0.000000004,G,0.000000009,366.89,136.4737,(M1+E2),0.02,8,,,27,30,Co,,0,,7/2-,271.74,,6,d,23478336,5184,EC,100,,836.4,6,26,31,Fe,24-Sep-1998,M. R. BHAT,2024-03-21
339.69,0.21,0.0037,0.0003,,G,0.000000004,706.76,366.89,M1+E2,0.083,5,,,27,30,Co,,0,,7/2-,271.74,,6,d,23478336,5184,EC,100,,836.4,6,26,31,Fe,24-Sep-1998,M. R. BHAT,2024-03-21
352.33,0.21,0.003,0.0003,0.000000004,G,0.0000000983,366.89,14.4128,M1+E2,0.025,9,,,27,30,Co,,0,,7/2-,271.74,,6,d,23478336,5184,EC,100,,836.4,6,26,31,Fe,24-Sep-1998,M. R. BHAT,2024-03-21
366.8,0.3,0.0012,0.0003,0.000000004,G,,366.89,0.0,M1+E2,-0.45,5,,,27,30,Co,,0,,7/2-,271.74,,6,d,23478336,5184,EC,100,,836.4,6,26,31,Fe,24-Sep-1998,M. R. BHAT,2024-03-21
570.09,0.2,0.0158,0.001,,G,0.000000009,706.76,136.4737,M1+E2,0.097,8,,,27,30,Co,,0,,7/2-,271.74,,6,d,23478336,5184,EC,100,,836.4,6,26,31,Fe,24-Sep-1998,M. R. BHAT,2024-03-21
692.41,0.07,0.149,0.01,,G,0.0000000983,706.76,14.4128,M1+E2,-0.465,8,,,27,30,Co,,0,,7/2-,271.74,,6,d,23478336,5184,EC,100,,836.4,6,26,31,Fe,24-Sep-1998,M. R. BHAT,2024-03-21
706.54,0.22,0.005,0.0005,,G,,706.76,0.0,[E2],,,,,27,30,Co,,0,,7/2-,271.74,,6,d,23478336,5184,EC,100,,836.4,6,26,31,Fe,24-Sep-1998,M. R. BHAT,2024-03-21
0.728,,1.485780510296928,0.14970778858209022,,X,,,,,,,,,27,30,Co,,0,,7/2-,271.74,,6,d,23478336,5184,EC,100,,836.4,6,26,31,Fe,24-Sep-1998,M. R. BHAT,2024-03-21
6.391,,16.807075542101764,0.30374702377630697,,X,,,,,,,,,27,30,Co,,0,,7/2-,271.74,,6,d,23478336,5184,EC,100,,836.4,6,26,31,Fe,24-Sep-1998,M. R. BHAT,2024-03-21
6.404,,32.90987965949043,0.572531975338634,,X,,,,,,,,,27,30,Co,,0,,7/2-,271.74,,6,d,23478336,5184,EC,100,,836.4,6,26,31,Fe,24-Sep-1998,M. R. BHAT,2024-03-21
7.082,,6.801279471577811,0.1368137594024784,,X,,,,,,,,,27,30,Co,,0,,7/2-,271.74,,6,d,23478336,5184,EC,100,,836.4,6,26,31,Fe,24-Sep-1998,M. R. BHAT,2024-03-21
7.082,,6.801279471577811,0.1368137594024784,,X,,,,,,,,,27,30,Co,,0,,7/2-,271.74,,6,d,23478336,5184,EC,100,,836.4,6,26,31,Fe,24-Sep-1998,M. R. BHAT,2024-03-21

