energy,unc_en,intensity_%,unc_i,type,start level H-l [sec],start level energy  [keV],  end level energy  [keV],  end level H-l  [sec], multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
232.6,,0.001099997,1.1E-09,8.3E-13,G,,1400.591,1167.97,[E2],,,0.104,,55,79,Cs,,0,,4+,2.0652,,4,Y,65171363.52,12622.77039,B-,99.9997,0.0001,2058.84,25,56,78,Ba,31-Jul-04,A.A. Sonzogni,22/03/2024
242.738,0.008,0.027,0.003,7.8E-11,G,8.3E-13,1643.335,1400.591,(M1+E2),,,0.088,,55,79,Cs,,0,,4+,2.0652,,4,Y,65171363.52,12622.77039,B-,99.9997,0.0001,2058.84,25,56,78,Ba,31-Jul-04,A.A. Sonzogni,22/03/2024
326.589,0.013,0.0162,0.001,,G,7.8E-11,1969.923,1643.335,[M1+E2],,,0.037,,55,79,Cs,,0,,4+,2.0652,,4,Y,65171363.52,12622.77039,B-,99.9997,0.0001,2058.84,25,56,78,Ba,31-Jul-04,A.A. Sonzogni,22/03/2024
475.365,0.002,1.477,0.007,7.8E-11,G,,1643.335,1167.97,M1+E2,-6,4,0.01139,,55,79,Cs,,0,,4+,2.0652,,4,Y,65171363.52,12622.77039,B-,99.9997,0.0001,2058.84,25,56,78,Ba,31-Jul-04,A.A. Sonzogni,22/03/2024
563.246,0.005,8.338,0.014,,G,,1167.97,604.723,M1+E2,-7.4,9,0.00727,,55,79,Cs,,0,,4+,2.0652,,4,Y,65171363.52,12622.77039,B-,99.9997,0.0001,2058.84,25,56,78,Ba,31-Jul-04,A.A. Sonzogni,22/03/2024
569.331,0.003,15.373,0.017,,G,8.3E-13,1969.923,1400.591,M1+E2,0.28,3,0.00956,,55,79,Cs,,0,,4+,2.0652,,4,Y,65171363.52,12622.77039,B-,99.9997,0.0001,2058.84,25,56,78,Ba,31-Jul-04,A.A. Sonzogni,22/03/2024
604.721,0.002,97.62,0.11,,G,,604.723,0,E2,,,0.00599,,55,79,Cs,,0,,4+,2.0652,,4,Y,65171363.52,12622.77039,B-,99.9997,0.0001,2058.84,25,56,78,Ba,31-Jul-04,A.A. Sonzogni,22/03/2024
795.864,0.004,85.46,0.06,8.3E-13,G,,1400.591,604.723,E2,,,0.00305,,55,79,Cs,,0,,4+,2.0652,,4,Y,65171363.52,12622.77039,B-,99.9997,0.0001,2058.84,25,56,78,Ba,31-Jul-04,A.A. Sonzogni,22/03/2024
801.953,0.004,8.688,0.016,,G,,1969.923,1167.97,E2,,,0.003,,55,79,Cs,,0,,4+,2.0652,,4,Y,65171363.52,12622.77039,B-,99.9997,0.0001,2058.84,25,56,78,Ba,31-Jul-04,A.A. Sonzogni,22/03/2024
847,0.2,0.0003,0.00014,,G,,847,0,E2,,,0.00237,,55,79,Cs,,0,,4+,2.0652,,4,Y,65171363.52,12622.77039,EC,0.0003,0.0001,1234.669,17,54,80,Xe,31-Jul-04,A.A. Sonzogni,22/03/2024
1038.61,0.007,0.99,0.003,7.8E-11,G,,1643.335,604.723,M1+E2,0.76,14,0.00208,,55,79,Cs,,0,,4+,2.0652,,4,Y,65171363.52,12622.77039,B-,99.9997,0.0001,2058.84,25,56,78,Ba,31-Jul-04,A.A. Sonzogni,22/03/2024
1167.968,0.005,1.79,0.005,,G,,1167.97,0,E2,,,0.00131,,55,79,Cs,,0,,4+,2.0652,,4,Y,65171363.52,12622.77039,B-,99.9997,0.0001,2058.84,25,56,78,Ba,31-Jul-04,A.A. Sonzogni,22/03/2024
1365.185,0.007,3.017,0.008,,G,,1969.923,604.723,E2,,,0.00096,,55,79,Cs,,0,,4+,2.0652,,4,Y,65171363.52,12622.77039,B-,99.9997,0.0001,2058.84,25,56,78,Ba,31-Jul-04,A.A. Sonzogni,22/03/2024
4.966,,0.105,0.005,,X,,,,,,,,,55,79,Cs,,0,,4+,2.0652,,4,Y,65171363.52,12622.77039,B-,99.9997,0.0001,2058.84,25,56,78,Ba,31-Jul-04,A.A. Sonzogni,22/03/2024
31.816,,0.238,0.003,,X,,,,,,,,,55,79,Cs,,0,,4+,2.0652,,4,Y,65171363.52,12622.77039,B-,99.9997,0.0001,2058.84,25,56,78,Ba,31-Jul-04,A.A. Sonzogni,22/03/2024
32.193,,0.439,0.004,,X,,,,,,,,,55,79,Cs,,0,,4+,2.0652,,4,Y,65171363.52,12622.77039,B-,99.9997,0.0001,2058.84,25,56,78,Ba,31-Jul-04,A.A. Sonzogni,22/03/2024
36.482,,0.1292,0.0019,,X,,,,,,,,,55,79,Cs,,0,,4+,2.0652,,4,Y,65171363.52,12622.77039,B-,99.9997,0.0001,2058.84,25,56,78,Ba,31-Jul-04,A.A. Sonzogni,22/03/2024
36.827,,0.1618,0.0023,,X,,,,,,,,,55,79,Cs,,0,,4+,2.0652,,4,Y,65171363.52,12622.77039,B-,99.9997,0.0001,2058.84,25,56,78,Ba,31-Jul-04,A.A. Sonzogni,22/03/2024
37.255,,0.0326,0.0008,,X,,,,,,,,,55,79,Cs,,0,,4+,2.0652,,4,Y,65171363.52,12622.77039,B-,99.9997,0.0001,2058.84,25,56,78,Ba,31-Jul-04,A.A. Sonzogni,22/03/2024
