energy,unc_en,intensity_%,unc_i,type,start level H-l [sec],start level energy  [keV],  end level energy  [keV],  end level H-l  [sec], multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
15.4,,,,,G,,363.5,348.1,[E1],,,9.03,,66,93,Dy,,0,,3/2-,144.4,,2,d,12476160,17280,EC,100,,365.4,18,65,94,Tb,31-Dec-10,C. W. Reich,22/03/2024
58,,2.27,0.13,1.3E-10,G,,58,0,M1+E2,0.119,2,10.73,,66,93,Dy,,0,,3/2-,144.4,,2,d,12476160,17280,EC,100,,365.4,18,65,94,Tb,31-Dec-10,C. W. Reich,22/03/2024
79.4,,0.00046,0.00006,,G,1.3E-10,137.4,58,M1+E2,0.126,8,4.3,,66,93,Dy,,0,,3/2-,144.4,,2,d,12476160,17280,EC,100,,365.4,18,65,94,Tb,31-Dec-10,C. W. Reich,22/03/2024
137.5,,0.00011,0.00003,,G,,137.4,0,[E2],,,0.828,,66,93,Dy,,0,,3/2-,144.4,,2,d,12476160,17280,EC,100,,365.4,18,65,94,Tb,31-Dec-10,C. W. Reich,22/03/2024
210.8,,0.00004,0.00002,,G,,348.1,137.4,[M1 E2],,,0.23,,66,93,Dy,,0,,3/2-,144.4,,2,d,12476160,17280,EC,100,,365.4,18,65,94,Tb,31-Dec-10,C. W. Reich,22/03/2024
226,,0.0000036,0.0000002,,G,,363.5,137.4,E1,,,0.0341,,66,93,Dy,,0,,3/2-,144.4,,2,d,12476160,17280,EC,100,,365.4,18,65,94,Tb,31-Dec-10,C. W. Reich,22/03/2024
290.2,,0.000137,0.000046,,G,1.3E-10,348.1,58,[M1+E2],,,0.091,,66,93,Dy,,0,,3/2-,144.4,,2,d,12476160,17280,EC,100,,365.4,18,65,94,Tb,31-Dec-10,C. W. Reich,22/03/2024
305.5,,0.00000108,0.00000008,,G,1.3E-10,363.5,58,E1,,,0.01582,,66,93,Dy,,0,,3/2-,144.4,,2,d,12476160,17280,EC,100,,365.4,18,65,94,Tb,31-Dec-10,C. W. Reich,22/03/2024
348.1,,0.00095,0.0001,,G,,348.1,0,M1+E2,0.43,10,0.0654,,66,93,Dy,,0,,3/2-,144.4,,2,d,12476160,17280,EC,100,,365.4,18,65,94,Tb,31-Dec-10,C. W. Reich,22/03/2024
363.5,,0.000055,0.000003,,G,,363.5,0,E1,,,0.01033,,66,93,Dy,,0,,3/2-,144.4,,2,d,12476160,17280,EC,100,,365.4,18,65,94,Tb,31-Dec-10,C. W. Reich,22/03/2024
7.118,,19.2443813,0.888214849,,X,,,,,,,,,66,93,Dy,,0,,3/2-,144.4,,2,d,12476160,17280,EC,100,,365.4,18,65,94,Tb,31-Dec-10,C. W. Reich,22/03/2024
43.743,,26.63734477,0.555153671,,X,,,,,,,,,66,93,Dy,,0,,3/2-,144.4,,2,d,12476160,17280,EC,100,,365.4,18,65,94,Tb,31-Dec-10,C. W. Reich,22/03/2024
44.481,,47.76285596,0.972135669,,X,,,,,,,,,66,93,Dy,,0,,3/2-,144.4,,2,d,12476160,17280,EC,100,,365.4,18,65,94,Tb,31-Dec-10,C. W. Reich,22/03/2024
50.494,,15.25233662,0.350781909,,X,,,,,,,,,66,93,Dy,,0,,3/2-,144.4,,2,d,12476160,17280,EC,100,,365.4,18,65,94,Tb,31-Dec-10,C. W. Reich,22/03/2024
51.04,,19.20269181,0.435000137,,X,,,,,,,,,66,93,Dy,,0,,3/2-,144.4,,2,d,12476160,17280,EC,100,,365.4,18,65,94,Tb,31-Dec-10,C. W. Reich,22/03/2024
51.699,,3.950355185,0.118617131,,X,,,,,,,,,66,93,Dy,,0,,3/2-,144.4,,2,d,12476160,17280,EC,100,,365.4,18,65,94,Tb,31-Dec-10,C. W. Reich,22/03/2024
