energy,unc_en,intensity_%,unc_i,type,start level H-l [sec],start level energy  [keV],  end level energy  [keV],  end level H-l  [sec], multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
118.97,0.15,0.000382024,0.00011,,G,1.99E-14,1082.816,963.363,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.4,284012.3338,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-13,M. J. MARTIN,22/03/2024
121.7817,0.0003,20.564424,0.16,1.40E-09,G,,121.7818,0,E2,,,1.155,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.4,284012.3338,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-13,M. J. MARTIN,22/03/2024
125.68,0.1,0.003697704,0.00019,7.00E-12,G,,810.453,684.69,[E2],,,1.033,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.4,284012.3338,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-13,M. J. MARTIN,22/03/2024
137.56,0.22,0.000533392,0.00013,,G,6.00E-12,1371.721,1233.8626,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.4,284012.3338,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-13,M. J. MARTIN,22/03/2024
148,0.05,0.0147764,0.0011,6.00E-12,G,4.00E-12,1233.8626,1085.8408,M1+E2,1,6,0.569,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.4,284012.3338,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-13,M. J. MARTIN,22/03/2024
150.13,0.08,0.00064872,0.00008,,G,,1371.721,1221.67,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.4,284012.3338,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-13,M. J. MARTIN,22/03/2024
166.91,0.25,0.00151368,0.0008,,G,,,,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.4,284012.3338,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-13,M. J. MARTIN,22/03/2024
172.1,0.4,0.000120056,0.00021,,G,,1282.24,1109.2,[E2],,,0.369,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.4,284012.3338,B-,27.92,0.13,1818.8,7,64,88,Gd,31-Aug-13,M. J. MARTIN,22/03/2024
174.8,0.22,0.000385296,0.00019,7.30E-12,G,7.30E-12,930.546,755.396,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.4,284012.3338,B-,27.92,0.13,1818.8,7,64,88,Gd,31-Aug-13,M. J. MARTIN,22/03/2024
175.18,,0.0028832,0.0011,,G,,,,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.4,284012.3338,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-13,M. J. MARTIN,22/03/2024
192.6,0.05,0.001901352,0.00022,,G,7.30E-12,1123.1855,930.546,[E1],,,0.0502,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.4,284012.3338,B-,27.92,0.13,1818.8,7,64,88,Gd,31-Aug-13,M. J. MARTIN,22/03/2024
195.22,0.15,0.00057236,0.00019,,G,,1318.456,1123.1855,E1,,,0.0484,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.4,284012.3338,B-,27.92,0.13,1818.8,7,64,88,Gd,31-Aug-13,M. J. MARTIN,22/03/2024
202.74,0.13,0.00367608,0.0011,,G,,,,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.4,284012.3338,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-13,M. J. MARTIN,22/03/2024
207.03,0.23,0.000821712,0.00024,,G,4.00E-12,1292.753,1085.8408,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.4,284012.3338,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-13,M. J. MARTIN,22/03/2024
