energy,unc_en,intensity_%,unc_i,type,start level H-l [sec],start level energy  [keV],  end level energy  [keV],  end level H-l  [sec], multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
142.651,0.002,1.02,0.05,0.00000000021,G,0.000000000551,1434.253,1291.601,M1+E2,-0.028,12,0.0161,,26,33,Fe,,0,,3/2-,44.490,,9,d,3843936,777.6,B-,100,,1564.9,4,27,32,Co,1-Apr-2018,M. Shamsuzzoha Basunia,2024-03-21
189,,0.0011,0.0012,,G,0.000000000551,1481.63,1291.601,,,,,,26,33,Fe,,0,,3/2-,44.490,,9,d,3843936,777.6,B-,100,,1564.9,4,27,32,Co,1-Apr-2018,M. Shamsuzzoha Basunia,2024-03-21
192.343,0.005,3.08,0.12,0.000000000551,G,0.000000000014,1291.601,1099.257,M1+E2,0.22,2,0.0091,,26,33,Fe,,0,,3/2-,44.490,,9,d,3843936,777.6,B-,100,,1564.9,4,27,32,Co,1-Apr-2018,M. Shamsuzzoha Basunia,2024-03-21
334.8,0.2,0.27,0.012,0.00000000021,G,0.000000000014,1434.253,1099.257,(M1+E2),1.8,5,0.0049,,26,33,Fe,,0,,3/2-,44.490,,9,d,3843936,777.6,B-,100,,1564.9,4,27,32,Co,1-Apr-2018,M. Shamsuzzoha Basunia,2024-03-21
382,0.4,0.018,0.003,,G,0.000000000014,1481.63,1099.257,(M1+E2),0.21,LT,0.00147,,26,33,Fe,,0,,3/2-,44.490,,9,d,3843936,777.6,B-,100,,1564.9,4,27,32,Co,1-Apr-2018,M. Shamsuzzoha Basunia,2024-03-21
1099.245,0.003,56.5,0.9,0.000000000014,G,,1099.257,0.0,E2,,,1.74E-4,,26,33,Fe,,0,,3/2-,44.490,,9,d,3843936,777.6,B-,100,,1564.9,4,27,32,Co,1-Apr-2018,M. Shamsuzzoha Basunia,2024-03-21
1291.59,0.006,43.2,0.9,0.000000000551,G,,1291.601,0.0,E2,,,1.48E-4,,26,33,Fe,,0,,3/2-,44.490,,9,d,3843936,777.6,B-,100,,1564.9,4,27,32,Co,1-Apr-2018,M. Shamsuzzoha Basunia,2024-03-21
1481.7,0.2,0.059,0.007,,G,,1481.63,0.0,(M1+E2),-0.19,4,1.45E-4,,26,33,Fe,,0,,3/2-,44.490,,9,d,3843936,777.6,B-,100,,1564.9,4,27,32,Co,1-Apr-2018,M. Shamsuzzoha Basunia,2024-03-21
0.8,,0.000598269857976,0.00004456745216509045,,X,,,,,,,,,26,33,Fe,,0,,3/2-,44.490,,9,d,3843936,777.6,B-,100,,1564.9,4,27,32,Co,1-Apr-2018,M. Shamsuzzoha Basunia,2024-03-21
6.915,,0.006325247647625393,0.00019593807748024357,,X,,,,,,,,,26,33,Fe,,0,,3/2-,44.490,,9,d,3843936,777.6,B-,100,,1564.9,4,27,32,Co,1-Apr-2018,M. Shamsuzzoha Basunia,2024-03-21
6.93,,0.0123636584199089,0.00037819539987570325,,X,,,,,,,,,26,33,Fe,,0,,3/2-,44.490,,9,d,3843936,777.6,B-,100,,1564.9,4,27,32,Co,1-Apr-2018,M. Shamsuzzoha Basunia,2024-03-21
7.677,,0.0025641179124657053,0.00008257462882062201,,X,,,,,,,,,26,33,Fe,,0,,3/2-,44.490,,9,d,3843936,777.6,B-,100,,1564.9,4,27,32,Co,1-Apr-2018,M. Shamsuzzoha Basunia,2024-03-21
7.677,,0.0025641179124657053,0.000082574628820622,,X,,,,,,,,,26,33,Fe,,0,,3/2-,44.490,,9,d,3843936,777.6,B-,100,,1564.9,4,27,32,Co,1-Apr-2018,M. Shamsuzzoha Basunia,2024-03-21

