energy,unc_en,intensity_%,unc_i,type,start level H-l [sec],start level energy  [keV],  end level energy  [keV],  end level H-l  [sec], multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
73.45,0.02,0.00144,0.000008,,G,,859.384,785.933,M1,,,6.92,,67,99,Ho,,5.969,0.012,7-,1.20E+03,,18,Y,37868311170,5680246675,B-,100,,1853.8,8,68,98,Er,01-Mar-08,CORAL M. BAGLIN,22/03/2024
80.574,0.004,11.9664,0.109016285,1.83E-09,G,,80.574,0,E2,,,6.78,,67,99,Ho,,5.969,0.012,7-,1.20E+03,,18,Y,37868311170,5680246675,B-,100,,1853.8,8,68,98,Er,01-Mar-08,CORAL M. BAGLIN,22/03/2024
94.674,0.003,0.1404,0.002296519,,G,,1786.969,1692.292,[M1],,,3.33,,67,99,Ho,,5.969,0.012,7-,1.20E+03,,18,Y,37868311170,5680246675,B-,100,,1853.8,8,68,98,Er,01-Mar-08,CORAL M. BAGLIN,22/03/2024
96.85,0.05,0.0022104,0.000115853,,G,,956.227,859.384,E2,,,3.32,,67,99,Ho,,5.969,0.012,7-,1.20E+03,,18,Y,37868311170,5680246675,B-,100,,1853.8,8,68,98,Er,01-Mar-08,CORAL M. BAGLIN,22/03/2024
119.041,0.003,0.1692,0.004421086,6E-11,G,,1075.271,956.227,(M1+E2),1.94,22,1.579,,67,99,Ho,,5.969,0.012,7-,1.20E+03,,18,Y,37868311170,5680246675,B-,100,,1853.8,8,68,98,Er,01-Mar-08,CORAL M. BAGLIN,22/03/2024
121.175,0.003,0.252,0.003862642,,G,,1786.969,1665.795,[E2],,,1.442,,67,99,Ho,,5.969,0.012,7-,1.20E+03,,18,Y,37868311170,5680246675,B-,100,,1853.8,8,68,98,Er,01-Mar-08,CORAL M. BAGLIN,22/03/2024
135.26,0.004,0.098208,0.001472788,,G,,1827.552,1692.292,[E2],,,0.97,,67,99,Ho,,5.969,0.012,7-,1.20E+03,,18,Y,37868311170,5680246675,B-,100,,1853.8,8,68,98,Er,01-Mar-08,CORAL M. BAGLIN,22/03/2024
140.692,0.006,0.042048,0.000756947,,G,6E-11,1215.963,1075.271,[M1 E2],,,0.96,,67,99,Ho,,5.969,0.012,7-,1.20E+03,,18,Y,37868311170,5680246675,B-,100,,1853.8,8,68,98,Er,01-Mar-08,CORAL M. BAGLIN,22/03/2024
160.076,0.005,0.09288,0.005783066,,G,,1376.029,1215.963,[M1 E2],,,0.64,,67,99,Ho,,5.969,0.012,7-,1.20E+03,,18,Y,37868311170,5680246675,B-,100,,1853.8,8,68,98,Er,01-Mar-08,CORAL M. BAGLIN,22/03/2024
161.731,0.008,0.108,0.002941836,,G,,1827.552,1665.795,[M1 E2],,,0.62,,67,99,Ho,,5.969,0.012,7-,1.20E+03,,18,Y,37868311170,5680246675,B-,100,,1853.8,8,68,98,Er,01-Mar-08,CORAL M. BAGLIN,22/03/2024
170.288,0.023,0.013968,0.000368269,,G,,956.227,785.933,E2,,,0.434,,67,99,Ho,,5.969,0.012,7-,1.20E+03,,18,Y,37868311170,5680246675,B-,100,,1853.8,8,68,98,Er,01-Mar-08,CORAL M. BAGLIN,22/03/2024
184.4113,0.0024,72,0.4,1.18E-10,G,1.83E-09,264.987,80.574,E2,,,0.331,,67,99,Ho,,5.969,0.012,7-,1.20E+03,,18,Y,37868311170,5680246675,B-,100,,1853.8,8,68,98,Er,01-Mar-08,CORAL M. BAGLIN,22/03/2024
190.762,0.015,0.21384,0.002465146,,G,,1786.969,1596.232,[E2],,,0.295,,67,99,Ho,,5.969,0.012,7-,1.20E+03,,18,Y,37868311170,5680246675,B-,100,,1853.8,8,68,98,Er,01-Mar-08,CORAL M. BAGLIN,22/03/2024
214.807,0.008,0.43488,0.006246171,,G,,1786.969,1572.177,[E2],,,0.199,,67,99,Ho,,5.969,0.012,7-,1.20E+03,,18,Y,37868311170,5680246675,B-,100,,1853.8,8,68,98,Er,01-Mar-08,CORAL M. BAGLIN,22/03/2024
215.8887,0.0021,2.5704,0.016329262,6E-11,G,,1075.271,859.384,[E2],,,0.195,,67,99,Ho,,5.969,0.012,7-,1.20E+03,,18,Y,37868311170,5680246675,B-,100,,1853.8,8,68,98,Er,01-Mar-08,CORAL M. BAGLIN,22/03/2024
231.318,0.008,0.20592,0.002444245,,G,,1827.552,1596.232,[E2],,,0.1561,,67,99,Ho,,5.969,0.012,7-,1.20E+03,,18,Y,37868311170,5680246675,B-,100,,1853.8,8,68,98,Er,01-Mar-08,CORAL M. BAGLIN,22/03/2024
255.2,0.12,0.004248,0.000936297,,G,,1827.552,1572.177,[E2],,,0.114,,67,99,Ho,,5.969,0.012,7-,1.20E+03,,18,Y,37868311170,5680246675,B-,100,,1853.8,8,68,98,Er,01-Mar-08,CORAL M. BAGLIN,22/03/2024
259.74,0.003,1.05696,0.008225447,,G,,1215.963,956.227,[E2],,,0.1079,,67,99,Ho,,5.969,0.012,7-,1.20E+03,,18,Y,37868311170,5680246675,B-,100,,1853.8,8,68,98,Er,01-Mar-08,CORAL M. BAGLIN,22/03/2024
280.464,0.002,29.3616,0.17830349,,G,1.18E-10,545.451,264.987,E2,,,0.0849,,67,99,Ho,,5.969,0.012,7-,1.20E+03,,18,Y,37868311170,5680246675,B-,100,,1853.8,8,68,98,Er,01-Mar-08,CORAL M. BAGLIN,22/03/2024
300.755,0.004,3.6936,0.029793127,,G,6E-11,1376.029,1075.271,E2(+M3),-0.018,16,0.0691,,67,99,Ho,,5.969,0.012,7-,1.20E+03,,18,Y,37868311170,5680246675,B-,100,,1853.8,8,68,98,Er,01-Mar-08,CORAL M. BAGLIN,22/03/2024
304.91,0.05,0.01944,0.002882024,,G,,1215.963,911.204,,,,,,67,99,Ho,,5.969,0.012,7-,1.20E+03,,18,Y,37868311170,5680246675,B-,100,,1853.8,8,68,98,Er,01-Mar-08,CORAL M. BAGLIN,22/03/2024
339.751,0.021,0.159912,0.001753681,,G,,1555.739,1215.963,(E2),,,0.0477,,67,99,Ho,,5.969,0.012,7-,1.20E+03,,18,Y,37868311170,5680246675,B-,100,,1853.8,8,68,98,Er,01-Mar-08,CORAL M. BAGLIN,22/03/2024
365.76,0.005,2.448,0.019807069,,G,,911.204,545.451,E2,,,0.0385,,67,99,Ho,,5.969,0.012,7-,1.20E+03,,18,Y,37868311170,5680246675,B-,100,,1853.8,8,68,98,Er,01-Mar-08,CORAL M. BAGLIN,22/03/2024
410.797,0.016,0.016632,0.0005124,,G,,956.227,545.451,E2,,,,,67,99,Ho,,5.969,0.012,7-,1.20E+03,,18,Y,37868311170,5680246675,B-,100,,1853.8,8,68,98,Er,01-Mar-08,CORAL M. BAGLIN,22/03/2024
410.949,0.007,11.2032,0.075763168,,G,,1786.969,1376.029,E1+M2,-0.01,5,0.00873,,67,99,Ho,,5.969,0.012,7-,1.20E+03,,18,Y,37868311170,5680246675,B-,100,,1853.8,8,68,98,Er,01-Mar-08,CORAL M. BAGLIN,22/03/2024
449.8,0.1,0.04752,0.007204838,,G,,,,,,,,,67,99,Ho,,5.969,0.012,7-,1.20E+03,,18,Y,37868311170,5680246675,B-,100,,1853.8,8,68,98,Er,01-Mar-08,CORAL M. BAGLIN,22/03/2024
451.542,0.007,2.9088,0.033024016,,G,,1827.552,1376.029,E1+M2,-0.0023,22,0.00706,,67,99,Ho,,5.969,0.012,7-,1.20E+03,,18,Y,37868311170,5680246675,B-,100,,1853.8,8,68,98,Er,01-Mar-08,CORAL M. BAGLIN,22/03/2024
464.832,0.006,1.2024,0.057986053,,G,,1376.029,911.204,E2+M1,-63,16,0.02,,67,99,Ho,,5.969,0.012,7-,1.20E+03,,18,Y,37868311170,5680246675,B-,100,,1853.8,8,68,98,Er,01-Mar-08,CORAL M. BAGLIN,22/03/2024
476.378,0.019,0.036,0.002169239,,G,,1692.292,1215.963,,,,,,67,99,Ho,,5.969,0.012,7-,1.20E+03,,18,Y,37868311170,5680246675,B-,100,,1853.8,8,68,98,Er,01-Mar-08,CORAL M. BAGLIN,22/03/2024
496.923,0.008,0.12384,0.002266924,,G,6E-11,1572.177,1075.271,E1,,,0.00566,,67,99,Ho,,5.969,0.012,7-,1.20E+03,,18,Y,37868311170,5680246675,B-,100,,1853.8,8,68,98,Er,01-Mar-08,CORAL M. BAGLIN,22/03/2024
520.94,0.03,0.16344,0.004414393,,G,6E-11,1596.232,1075.271,,,,,,67,99,Ho,,5.969,0.012,7-,1.20E+03,,18,Y,37868311170,5680246675,B-,100,,1853.8,8,68,98,Er,01-Mar-08,CORAL M. BAGLIN,22/03/2024
