energy,unc_en,intensity_%,unc_i,type,start level H-l [sec],start level energy  [keV],  end level energy  [keV],  end level H-l  [sec], multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
129.81,0.02,0.000000434,0.00000001,,G,,280.99,151.183,(M1),,,0.071,,36,49,Kr,,0,,9/2+,10.739,,14,Y,338889828,441796.9636,B-,100,,687,20,37,48,Rb,31-Dec-13,BALRAJ SINGH AND JUN CHEN,22/03/2024
151.18,0.03,0.00000217,1.30296E-06,,G,,151.183,0,M1+E2,0.072,4,0.0481,,36,49,Kr,,0,,9/2+,10.739,,14,Y,338889828,441796.9636,B-,100,,687,20,37,48,Rb,31-Dec-13,BALRAJ SINGH AND JUN CHEN,22/03/2024
362.81,0.04,0.00000217,4.36871E-07,0.000001015,G,,513.999,151.183,(E3),,,0.0338,,36,49,Kr,,0,,9/2+,10.739,,14,Y,338889828,441796.9636,B-,100,,687,20,37,48,Rb,31-Dec-13,BALRAJ SINGH AND JUN CHEN,22/03/2024
513.997,0.005,0.434,0.01,0.000001015,G,,513.999,0,M2,,,0.00712,,36,49,Kr,,0,,9/2+,10.739,,14,Y,338889828,441796.9636,B-,100,,687,20,37,48,Rb,31-Dec-13,BALRAJ SINGH AND JUN CHEN,22/03/2024
1.767,,0.00008,0.000003,,X,,,,,,,,,36,49,Kr,,0,,9/2+,10.739,,14,Y,338889828,441796.9636,B-,100,,687,20,37,48,Rb,31-Dec-13,BALRAJ SINGH AND JUN CHEN,22/03/2024
13.336,,0.000533,0.000015,,X,,,,,,,,,36,49,Kr,,0,,9/2+,10.739,,14,Y,338889828,441796.9636,B-,100,,687,20,37,48,Rb,31-Dec-13,BALRAJ SINGH AND JUN CHEN,22/03/2024
13.396,,0.00103,0.00003,,X,,,,,,,,,36,49,Kr,,0,,9/2+,10.739,,14,Y,338889828,441796.9636,B-,100,,687,20,37,48,Rb,31-Dec-13,BALRAJ SINGH AND JUN CHEN,22/03/2024
15.021,,0.00025,0.000007,,X,,,,,,,,,36,49,Kr,,0,,9/2+,10.739,,14,Y,338889828,441796.9636,B-,100,,687,20,37,48,Rb,31-Dec-13,BALRAJ SINGH AND JUN CHEN,22/03/2024
15.07,,0.000279,0.000008,,X,,,,,,,,,36,49,Kr,,0,,9/2+,10.739,,14,Y,338889828,441796.9636,B-,100,,687,20,37,48,Rb,31-Dec-13,BALRAJ SINGH AND JUN CHEN,22/03/2024
15.187,,0.000029,0.0000013,,X,,,,,,,,,36,49,Kr,,0,,9/2+,10.739,,14,Y,338889828,441796.9636,B-,100,,687,20,37,48,Rb,31-Dec-13,BALRAJ SINGH AND JUN CHEN,22/03/2024
