energy,unc_en,intensity_%,unc_i,type,start level H-l [sec],start level energy  [keV],  end level energy  [keV],  end level H-l  [sec], multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
71.6418,0.0006,0.164,0.005,6.65E-10,G,1.07E-10,321.3162,249.6744,E1+M2,-0.018,9,0.89,,71,106,Lu,,0,,7/2+,6.6443,,9,d,574067.52,77.76,B-,100,,496.8,8,72,105,Hf,30-Aug-19,F.G. KONDEV,22/03/2024
112.9498,0.0004,6.23,0.04,5.41E-10,G,,112.9498,0,M1+E2,-4.77,19,2.23,,71,106,Lu,,0,,7/2+,6.6443,,9,d,574067.52,77.76,B-,100,,496.8,8,72,105,Hf,30-Aug-19,F.G. KONDEV,22/03/2024
136.7245,0.0005,0.0465,0.0004,1.07E-10,G,5.41E-10,249.6744,112.9498,M1+E2,-3.31,15,1.13,,71,106,Lu,,0,,7/2+,6.6443,,9,d,574067.52,77.76,B-,100,,496.8,8,72,105,Hf,30-Aug-19,F.G. KONDEV,22/03/2024
208.3662,0.0004,10.41,0.04,6.65E-10,G,5.41E-10,321.3162,112.9498,E1+M2,0.076,19,0.068,,71,106,Lu,,0,,7/2+,6.6443,,9,d,574067.52,77.76,B-,100,,496.8,8,72,105,Hf,30-Aug-19,F.G. KONDEV,22/03/2024
249.6742,0.0006,0.1997,0.0013,1.07E-10,G,,249.6744,0,E2,,,0.1395,,71,106,Lu,,0,,7/2+,6.6443,,9,d,574067.52,77.76,B-,100,,496.8,8,72,105,Hf,30-Aug-19,F.G. KONDEV,22/03/2024
321.3159,0.0006,0.2186,0.0032,6.65E-10,G,,321.3162,0,E1+M2,0.175,10,0.0354,,71,106,Lu,,0,,7/2+,6.6443,,9,d,574067.52,77.76,B-,100,,496.8,8,72,105,Hf,30-Aug-19,F.G. KONDEV,22/03/2024
9.114,,3.036535485,0.12282411,,X,,,,,,,,,71,106,Lu,,0,,7/2+,6.6443,,9,d,574067.52,77.76,B-,100,,496.8,8,72,105,Hf,30-Aug-19,F.G. KONDEV,22/03/2024
54.608,,1.571603593,0.033005713,,X,,,,,,,,,71,106,Lu,,0,,7/2+,6.6443,,9,d,574067.52,77.76,B-,100,,496.8,8,72,105,Hf,30-Aug-19,F.G. KONDEV,22/03/2024
55.786,,2.750443809,0.056495475,,X,,,,,,,,,71,106,Lu,,0,,7/2+,6.6443,,9,d,574067.52,77.76,B-,100,,496.8,8,72,105,Hf,30-Aug-19,F.G. KONDEV,22/03/2024
63.333,,0.907391167,0.023330429,,X,,,,,,,,,71,106,Lu,,0,,7/2+,6.6443,,9,d,574067.52,77.76,B-,100,,496.8,8,72,105,Hf,30-Aug-19,F.G. KONDEV,22/03/2024
64.057,,1.149664609,0.029209402,,X,,,,,,,,,71,106,Lu,,0,,7/2+,6.6443,,9,d,574067.52,77.76,B-,100,,496.8,8,72,105,Hf,30-Aug-19,F.G. KONDEV,22/03/2024
64.935,,0.242273442,0.00770631,,X,,,,,,,,,71,106,Lu,,0,,7/2+,6.6443,,9,d,574067.52,77.76,B-,100,,496.8,8,72,105,Hf,30-Aug-19,F.G. KONDEV,22/03/2024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
