energy,unc_en,intensity_%,unc_i,type,start level H-l [sec],start level energy  [keV],  end level energy  [keV],  end level H-l  [sec], multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
14.05,0.01,0.1137856,0.0023,1.09,G,,1315.4502,1301.4004,[M1+E2],,,217,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560,25920,B-,77.3,0.08,496.8,8,72,105,Hf,30-Aug-19,F.G. KONDEV,22/03/2024
55.15,0.02,1.511215,0.022,1.09,G,,1315.4502,1260.2817,[E1],,,0.333,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560,25920,B-,77.3,0.08,496.8,8,72,105,Hf,30-Aug-19,F.G. KONDEV,22/03/2024
69.2,0.1,0.0076527,0.0011,,G,,1086.9662,1017.7911,[E1],,,0.919,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560,25920,B-,77.3,0.08,496.8,8,72,105,Hf,30-Aug-19,F.G. KONDEV,22/03/2024
71.6418,0.0006,0.677148,0.026,6.65E-10,G,1.07E-10,321.3162,249.6744,E1+M2,-0.018,9,0.89,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560,25920,B-,77.3,0.08,496.8,8,72,105,Hf,30-Aug-19,F.G. KONDEV,22/03/2024
88.4,0.1,0.033239,0.005,,G,,882.8611,794.4394,[E1],,,0.494,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560,25920,B-,77.3,0.08,496.8,8,72,105,Hf,30-Aug-19,F.G. KONDEV,22/03/2024
105.3589,0.0004,9.80164,0.04,4.00E-11,G,6.65E-10,426.6752,321.3162,M1+E2,-0.33,13,3.39,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560,25920,B-,77.3,0.08,496.8,8,72,105,Hf,30-Aug-19,F.G. KONDEV,22/03/2024
112.9498,0.0004,16.5422,0.4,5.41E-10,G,,112.9499,0,M1+E2,-4.77,19,2.23,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560,25920,B-,77.3,0.08,496.8,8,72,105,Hf,30-Aug-19,F.G. KONDEV,22/03/2024
115.8682,0.0023,0.149366,0.012,13858560,G,,970.1757,854.3067,E3,,,33.5,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560,25920,IT,22.7,0.08,,,71,106,Lu,30-Aug-19,F.G. KONDEV,22/03/2024
117.1442,0.0012,0.149962,0.011,,G,,708.4622,591.3179,[E1],,,0.237,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560,25920,B-,77.3,0.08,496.8,8,72,105,Hf,30-Aug-19,F.G. KONDEV,22/03/2024
121.6211,0.0005,1.42783,0.07,1.17E-10,G,574067.52,121.6211,0,M1+E2,0.51,5,2,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560,25920,IT,22.7,0.08,,,71,106,Lu,30-Aug-19,F.G. KONDEV,22/03/2024
125.3,0.2,0.00004994,0.00005,13858560,G,,970.1757,844.9119,[M3],,,94.3,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560,25920,IT,22.7,0.08,,,71,106,Lu,30-Aug-19,F.G. KONDEV,22/03/2024
