energy,unc_en,intensity_%,unc_i,type,start level H-l [sec],start level energy  [keV],  end level energy  [keV],  end level H-l  [sec], multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
4.2,,,,0.000000193,G,,391.586,387.41,[E1],,,,,93,146,Np,,0,,5/2+,2.356,,3,d,203558.4,259.2,B-,100,,722.8,9,94,145,Pu,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-03-22
7.85,,,,,G,760837485247.4131,7.861,0.0,M1+E2,0.055,3,5.7E3,,93,146,Np,,0,,5/2+,2.356,,3,d,203558.4,259.2,B-,100,,722.8,9,94,145,Pu,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-03-22
18.4,,,,,G,,75.706,57.276,[M1+E2],,,,,93,146,Np,,0,,5/2+,2.356,,3,d,203558.4,259.2,B-,100,,722.8,9,94,145,Pu,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-03-22
44.66,0.02,0.13,0.01,,G,0.00000000112,330.125,285.460,M1+E2,0.20,3,86,,93,146,Np,,0,,5/2+,2.356,,3,d,203558.4,259.2,B-,100,,722.8,9,94,145,Pu,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-03-22
49.41,0.02,0.12,0.02,,G,,57.276,7.861,M1+E2,0.50,3,126,,93,146,Np,,0,,5/2+,2.356,,3,d,203558.4,259.2,B-,100,,722.8,9,94,145,Pu,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-03-22
57.28,,0.036,0.0000036,,G,760837485247.4131,57.276,0.0,E2,,,222,,93,146,Np,,0,,5/2+,2.356,,3,d,203558.4,259.2,B-,100,,722.8,9,94,145,Pu,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-03-22
57.3,,0.09,0.00009,,G,,387.41,330.125,[M1],,,28.6,,93,146,Np,,0,,5/2+,2.356,,3,d,203558.4,259.2,B-,100,,722.8,9,94,145,Pu,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-03-22
61.46,0.002,1.3,0.02,0.000000193,G,,391.586,330.125,E1,,,0.473,,93,146,Np,,0,,5/2+,2.356,,3,d,203558.4,259.2,B-,100,,722.8,9,94,145,Pu,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-03-22
67.86,0.02,0.1,0.03,,G,,75.706,7.861,E2,,,98.4,,93,146,Np,,0,,5/2+,2.356,,3,d,203558.4,259.2,B-,100,,722.8,9,94,145,Pu,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-03-22
88.06,0.03,0.006,0.002,,G,,163.76,75.706,M1+E2,0.50,,12.26,,93,146,Np,,0,,5/2+,2.356,,3,d,203558.4,259.2,B-,100,,722.8,9,94,145,Pu,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-03-22
101.965,0.013,0.008,,,G,0.00000000112,387.41,285.460,E2,,,14.42,,93,146,Np,,0,,5/2+,2.356,,3,d,203558.4,259.2,B-,100,,722.8,9,94,145,Pu,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-03-22
