energy,unc_en,intensity_%,unc_i,type,start level H-l [sec],start level energy  [keV],  end level energy  [keV],  end level H-l  [sec], multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
43.498,0.001,0.0392,0.0008,0.000000000252,G,,43.4981,0.0,E2,,,713,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-03-22
62.7,0.01,0.00000001,0,,G,,989.430,926.720,E1,,,0.426,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-03-22
99.853,0.003,0.00729,0.00008,,G,0.000000000252,143.352,43.4981,E2,,,13.42,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-03-22
140.15,0.02,0.000000002,0,,G,,989.430,849.266,M1+E2,1.3,5,5.1,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-03-22
152.72,0.002,0.000929,0.000007,,G,,296.072,143.352,E2,,,2.14,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-03-22
192.91,0.07,0.00000000064,0.0001,,G,,1044.536,851.74,[E2],,,0.856,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-03-22
200.97,0.03,0.0000039,0.0000002,,G,,497.04,296.072,E2,,,0.734,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-03-22
203.12,0.03,0.000000008,0,,G,,989.430,786.288,M1+E2,1.4,4,1.5,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-03-22
233.6,0.2,,,,G,,1085.26,851.74,,,,,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-03-22
234.6,0.2,,,,G,,1044.536,809.907,E0,,,,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-03-22
235.9,0.3,0.00000001,0.000000005,,G,,1085.26,849.266,[E1],,,0.0673,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-03-22
258.3,0.2,0.000000084,0.000000013,,G,,1044.536,786.288,(E1),,,0.0548,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-03-22
299.2,0.2,0.000000048,0.000000013,,G,,1085.26,786.288,[E1],,,0.0395,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-03-22
705.9,0.3,0.000000053,0.00000002,,G,,849.266,143.352,[E1],,,0.00698,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-03-22
708.42,0.2,0.00000041,0.00000007,,G,,851.74,143.352,[E2],,,0.0219,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-03-22
742.81,0.1,0.0000052,0.0000002,,G,0.000000000252,786.288,43.4981,E1,,,0.00636,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-03-22
766.39,0.1,0.000022,0.000002,,G,0.000000000252,809.907,43.4981,E2,,,0.0187,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-03-22
783.4,0.1,0.000000024,0.000000004,,G,,926.720,143.352,[E2],,,0.0179,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-03-22
786.3,0.1,0.00000322,0.00000025,,G,,786.288,0.0,E1,,,0.00573,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-03-22
804.4,0.3,0.00000012,0.00000005,,G,,947.64,143.352,E0+E2,,,0.57,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-03-22
805.6,0.3,0.00000006,0.00000003,,G,0.000000000252,849.266,43.4981,[E1],,,0.00549,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-03-22
808.25,0.15,0.00000079,0.00000002,,G,0.000000000252,851.74,43.4981,E0+E2,,,4.3,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-03-22
810,,,,,G,,809.907,0.0,E0,,,,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-03-22
851.7,0.1,0.00000124,0.00000015,,G,,851.74,0.0,[E2],,,0.01513,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-03-22
880.5,0.3,0.00000016,0.00000004,,G,,1023.9,143.352,,,,,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-03-22
883.23,0.1,0.00000076,0.00000006,,G,0.000000000252,926.720,43.4981,E2,,,0.01409,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-03-22
904.3,0.2,0.000000064,0.00000001,,G,0.000000000252,947.64,43.4981,[E2],,,0.01346,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-03-22
926.72,0.15,0.00000058,0.00000003,,G,,926.720,0.0,(E2),,,0.01284,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-03-22
941.9,0.2,0.00000047,0.00000005,,G,,1085.26,143.352,[E2],,,0.0126,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-03-22
946,0.3,0.000000086,0,,G,0.000000000252,989.430,43.4981,(E1),,,0.00412,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-03-22
1001.03,0.15,0.00000098,0.00000007,,G,0.000000000252,1044.536,43.4981,E2,,,0.01107,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-03-22
1041.8,0.3,0.00000022,0.00000003,,G,0.000000000252,1085.26,43.4981,,,,,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-03-22
1085.4,0.3,0.000000091,0.00000001,,G,,1085.26,0.0,,,,,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-03-22
16.678,,10.2,0.5,,X,,,,,,,,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-03-22
94.657,,0.000059,0.000005,,X,,,,,,,,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-03-22
98.439,,0.000094,0.000008,,X,,,,,,,,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-03-22
111.238,,0.000034,0.000003,,X,,,,,,,,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-03-22
112.645,,0.000046,0.000004,,X,,,,,,,,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-03-22
114.446,,0.0000116,0.000001,,X,,,,,,,,,94,144,Pu,,0,,0+,87.7,,1,Y,2767542407.9717183,3155692.5974592,A,100,,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-03-22

