energy,unc_en,intensity_%,unc_i,type,start level H-l [sec],start level energy  [keV],  end level energy  [keV],  end level H-l  [sec], multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
39.76,0.01,0.06916,0.001133589,3366.84,G,,39.756,0,E3,,,1402,,44,59,Ru,,0,,3/2+,39.247,,13,d,3390940.8,1123.2,B-,100,,764.5,23,45,58,Rh,01-Mar-09,D. DE FRENNE,22/03/2024
42.63,0.04,0.005187,0.000547456,1E-10,G,,650.093,607.414,,,,,,44,59,Ru,,0,,3/2+,39.247,,13,d,3390940.8,1123.2,B-,100,,764.5,23,45,58,Rh,01-Mar-09,D. DE FRENNE,22/03/2024
53.286,0.01,0.44317,0.010574563,1.11E-09,G,3366.84,93.041,39.756,M1,,,2.08,,44,59,Ru,,0,,3/2+,39.247,,13,d,3390940.8,1123.2,B-,100,,764.5,23,45,58,Rh,01-Mar-09,D. DE FRENNE,22/03/2024
62.41,0.03,0.0004368,3.65547E-05,,G,,357.408,294.964,M1,,,1.314,,44,59,Ru,,0,,3/2+,39.247,,13,d,3390940.8,1123.2,B-,100,,764.5,23,45,58,Rh,01-Mar-09,D. DE FRENNE,22/03/2024
113.191,0.036,0.003185,0.000274097,1E-10,G,3.9E-11,650.093,536.838,,,,,,44,59,Ru,,0,,3/2+,39.247,,13,d,3390940.8,1123.2,B-,100,,764.5,23,45,58,Rh,01-Mar-09,D. DE FRENNE,22/03/2024
114.87,0.013,0.007371,0.000458519,,G,3.9E-11,651.798,536.838,M1(+E2),,,,,44,59,Ru,,0,,3/2+,39.247,,13,d,3390940.8,1123.2,B-,100,,764.5,23,45,58,Rh,01-Mar-09,D. DE FRENNE,22/03/2024
241.875,0.01,0.014287,0.000294291,3.9E-11,G,,536.838,294.964,E1,,,0.0118,,44,59,Ru,,0,,3/2+,39.247,,13,d,3390940.8,1123.2,B-,100,,764.5,23,45,58,Rh,01-Mar-09,D. DE FRENNE,22/03/2024
292.7,0.2,0.00091,0.000910027,1E-10,G,,650.093,357.408,,,,,,44,59,Ru,,0,,3/2+,39.247,,13,d,3390940.8,1123.2,B-,100,,764.5,23,45,58,Rh,01-Mar-09,D. DE FRENNE,22/03/2024
294.964,0.01,0.28847,0.003518076,,G,,294.964,0,M1+E2,-0.17,1,0.0191,,44,59,Ru,,0,,3/2+,39.247,,13,d,3390940.8,1123.2,B-,100,,764.5,23,45,58,Rh,01-Mar-09,D. DE FRENNE,22/03/2024
317.72,0.05,0.0091,0.00007,,G,3366.84,357.408,39.756,,,,,,44,59,Ru,,0,,3/2+,39.247,,13,d,3390940.8,1123.2,B-,100,,764.5,23,45,58,Rh,01-Mar-09,D. DE FRENNE,22/03/2024
357.382,0.023,0.008645,0.000370025,,G,,357.408,0,E2,,,0.01588,,44,59,Ru,,0,,3/2+,39.247,,13,d,3390940.8,1123.2,B-,100,,764.5,23,45,58,Rh,01-Mar-09,D. DE FRENNE,22/03/2024
443.81,0.01,0.33943,0.004479612,3.9E-11,G,1.11E-09,536.838,93.041,E2,,,,,44,59,Ru,,0,,3/2+,39.247,,13,d,3390940.8,1123.2,B-,100,,764.5,23,45,58,Rh,01-Mar-09,D. DE FRENNE,22/03/2024
497.085,0.01,91,1.221474928,3.9E-11,G,3366.84,536.838,39.756,M1+E2,-0.368,11,,,44,59,Ru,,0,,3/2+,39.247,,13,d,3390940.8,1123.2,B-,100,,764.5,23,45,58,Rh,01-Mar-09,D. DE FRENNE,22/03/2024
514.365,0.012,0.006188,0.000102697,,G,1.11E-09,607.414,93.041,,,,,,44,59,Ru,,0,,3/2+,39.247,,13,d,3390940.8,1123.2,B-,100,,764.5,23,45,58,Rh,01-Mar-09,D. DE FRENNE,22/03/2024
557.057,0.01,0.84084,0.010436049,1E-10,G,1.11E-09,650.093,93.041,(E2),,,,,44,59,Ru,,0,,3/2+,39.247,,13,d,3390940.8,1123.2,B-,100,,764.5,23,45,58,Rh,01-Mar-09,D. DE FRENNE,22/03/2024
567.693,0.029,0.002093,9.24133E-05,,G,3366.84,607.414,39.756,,,,,,44,59,Ru,,0,,3/2+,39.247,,13,d,3390940.8,1123.2,B-,100,,764.5,23,45,58,Rh,01-Mar-09,D. DE FRENNE,22/03/2024
610.333,0.01,5.7603,0.063510835,1E-10,G,3366.84,650.093,39.756,M1(+E2),0.09,14,,,44,59,Ru,,0,,3/2+,39.247,,13,d,3390940.8,1123.2,B-,100,,764.5,23,45,58,Rh,01-Mar-09,D. DE FRENNE,22/03/2024
612.094,0.06,0.10465,0.005519024,,G,3366.84,651.798,39.756,[E2],,,,,44,59,Ru,,0,,3/2+,39.247,,13,d,3390940.8,1123.2,B-,100,,764.5,23,45,58,Rh,01-Mar-09,D. DE FRENNE,22/03/2024
651.69,0.15,0.0002184,2.73516E-05,,G,,651.798,0,,,,,,44,59,Ru,,0,,3/2+,39.247,,13,d,3390940.8,1123.2,B-,100,,764.5,23,45,58,Rh,01-Mar-09,D. DE FRENNE,22/03/2024
2.892,,4.17056439,,,X,,,,,,,,,44,59,Ru,,0,,3/2+,39.247,,13,d,3390940.8,1123.2,B-,100,,764.5,23,45,58,Rh,01-Mar-09,D. DE FRENNE,22/03/2024
20.073,,2.577373736,,,X,,,,,,,,,44,59,Ru,,0,,3/2+,39.247,,13,d,3390940.8,1123.2,B-,100,,764.5,23,45,58,Rh,01-Mar-09,D. DE FRENNE,22/03/2024
20.215,,4.879541341,,,X,,,,,,,,,44,59,Ru,,0,,3/2+,39.247,,13,d,3390940.8,1123.2,B-,100,,764.5,23,45,58,Rh,01-Mar-09,D. DE FRENNE,22/03/2024
22.806,,1.325105321,,,X,,,,,,,,,44,59,Ru,,0,,3/2+,39.247,,13,d,3390940.8,1123.2,B-,100,,764.5,23,45,58,Rh,01-Mar-09,D. DE FRENNE,22/03/2024
22.957,,1.545072804,,,X,,,,,,,,,44,59,Ru,,0,,3/2+,39.247,,13,d,3390940.8,1123.2,B-,100,,764.5,23,45,58,Rh,01-Mar-09,D. DE FRENNE,22/03/2024
23.17,,0.219967483,,,X,,,,,,,,,44,59,Ru,,0,,3/2+,39.247,,13,d,3390940.8,1123.2,B-,100,,764.5,23,45,58,Rh,01-Mar-09,D. DE FRENNE,22/03/2024
