energy,unc_en,intensity_%,unc_i,type,start level H-l [sec],start level energy  [keV],  end level energy  [keV],  end level H-l  [sec], multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
19.8,0.06,0.020424,0.000911808,1.32E-11,G,1.91E-11,463.365,443.554,[M1],,,10.93,,51,74,Sb,,0,,7/2+,2.75856,,25,Y,87051673.72,7889.231494,B-,100,,766.7,21,52,73,Te,01-Jan-10,J. KATAKURA,22/03/2024
35.489,0.005,4.37488,0.04522046,1.482E-09,G,,35.491,0,M1+E2,0.031,3,13.69,,51,74,Sb,,0,,7/2+,2.75856,,25,Y,87051673.72,7889.231494,B-,100,,766.7,21,52,73,Te,01-Jan-10,J. KATAKURA,22/03/2024
58.43,0.05,0.012432,0.005921341,,G,,,,,,,,,51,74,Sb,,0,,7/2+,2.75856,,25,Y,87051673.72,7889.231494,B-,100,,766.7,21,52,73,Te,01-Jan-10,J. KATAKURA,22/03/2024
61.85,0.16,0.002072,0.000888248,1.6E-10,G,1.32E-11,525.227,463.365,[E1],,,0.75,,51,74,Sb,,0,,7/2+,2.75856,,25,Y,87051673.72,7889.231494,B-,100,,766.7,21,52,73,Te,01-Jan-10,J. KATAKURA,22/03/2024
81.02,0.04,0.005032,0.000300361,,G,6.72E-10,402.09,321.09,E1,,,0.354,,51,74,Sb,,0,,7/2+,2.75856,,25,Y,87051673.72,7889.231494,B-,100,,766.7,21,52,73,Te,01-Jan-10,J. KATAKURA,22/03/2024
110.895,0.012,0.001036,0.000118865,4E-11,G,1.6E-10,636.09,525.227,[E1],,,0.1468,,51,74,Sb,,0,,7/2+,2.75856,,25,Y,87051673.72,7889.231494,B-,100,,766.7,21,52,73,Te,01-Jan-10,J. KATAKURA,22/03/2024
116.955,0.011,0.262552,0.003765344,7E-11,G,1.6E-10,642.204,525.227,E1,,,0.1264,,51,74,Sb,,0,,7/2+,2.75856,,25,Y,87051673.72,7889.231494,B-,100,,766.7,21,52,73,Te,01-Jan-10,J. KATAKURA,22/03/2024
132.81,0.14,0.0008584,0.000562467,1.26E-12,G,,671.443,538.6,[E2],,,0.624,,51,74,Sb,,0,,7/2+,2.75856,,25,Y,87051673.72,7889.231494,B-,100,,766.7,21,52,73,Te,01-Jan-10,J. KATAKURA,22/03/2024
172.719,0.008,0.191216,0.007363604,4E-11,G,1.32E-11,636.09,463.365,M1(+E2),-0.004,8,0.1484,,51,74,Sb,,0,,7/2+,2.75856,,25,Y,87051673.72,7889.231494,B-,100,,766.7,21,52,73,Te,01-Jan-10,J. KATAKURA,22/03/2024
176.314,0.002,6.84056,0.070892093,6.72E-10,G,4959360,321.09,144.776,M1+E2,-0.6,2,0.164,,51,74,Sb,,0,,7/2+,2.75856,,25,Y,87051673.72,7889.231494,B-,100,,766.7,21,52,73,Te,01-Jan-10,J. KATAKURA,22/03/2024
