energy,unc_en,intensity_%,unc_i,type,start level H-l [sec],start level energy  [keV],  end level energy  [keV],  end level H-l  [sec], multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
14.89,,0.001178,0.000006,0.000000000273,G,0.0000000000112,279.5428,264.6581,[M1(+E2)],0.15,15,50,,34,41,Se,,0,,5/2+,119.78,,5,d,10348992,4320,EC,100,,864.7,9,33,42,As,30-Jun-2013,ALEXANDRU NEGRET and  BALRAJ SINGH,2024-03-21
24.38,,0.025327,0.0011850421933416548,0.01762,G,0.000000000273,303.9243,279.5428,M2(+E3),0.013,13,205,,34,41,Se,,0,,5/2+,119.78,,5,d,10348992,4320,EC,100,,864.7,9,33,42,As,30-Jun-2013,ALEXANDRU NEGRET and  BALRAJ SINGH,2024-03-21
66.0518,0.0008,1.111443,0.009055580875901888,0.0000000000112,G,0.000000000885,264.6581,198.6063,M1+E2,0.066,19,0.298,,34,41,Se,,0,,5/2+,119.78,,5,d,10348992,4320,EC,100,,864.7,9,33,42,As,30-Jun-2013,ALEXANDRU NEGRET and  BALRAJ SINGH,2024-03-21
81.15,0.09,0.0084816,0.0006493386250639954,0.000000000273,G,0.000000000885,279.5428,198.6063,E2,,,1.72,,34,41,Se,,0,,5/2+,119.78,,5,d,10348992,4320,EC,100,,864.7,9,33,42,As,30-Jun-2013,ALEXANDRU NEGRET and  BALRAJ SINGH,2024-03-21
96.734,0.0009,3.448595,0.024915018061402245,0.00000000167,G,0.01762,400.6583,303.9243,E2,,,0.893,,34,41,Se,,0,,5/2+,119.78,,5,d,10348992,4320,EC,100,,864.7,9,33,42,As,30-Jun-2013,ALEXANDRU NEGRET and  BALRAJ SINGH,2024-03-21
121.1155,0.0011,17.20469,0.12443769284264314,0.00000000167,G,0.000000000273,400.6583,279.5428,E1,,,0.0417,,34,41,Se,,0,,5/2+,119.78,,5,d,10348992,4320,EC,100,,864.7,9,33,42,As,30-Jun-2013,ALEXANDRU NEGRET and  BALRAJ SINGH,2024-03-21
136.0001,0.0006,58.5466,0.41911035539580743,0.00000000167,G,0.0000000000112,400.6583,264.6581,E1,,,0.0295,,34,41,Se,,0,,5/2+,119.78,,5,d,10348992,4320,EC,100,,864.7,9,33,42,As,30-Jun-2013,ALEXANDRU NEGRET and  BALRAJ SINGH,2024-03-21
198.606,0.0012,1.49606,0.01080250197870845,0.000000000885,G,,198.6063,0.0,M1+E2,0.389,17,0.0208,,34,41,Se,,0,,5/2+,119.78,,5,d,10348992,4320,EC,100,,864.7,9,33,42,As,30-Jun-2013,ALEXANDRU NEGRET and  BALRAJ SINGH,2024-03-21
249.4,0.3,0.000008835,0.0000017675729122160703,0.000000000003,G,0.0000000000029,821.73,572.41,[M1 E2],,,0.017,,34,41,Se,,0,,5/2+,119.78,,5,d,10348992,4320,EC,100,,864.7,9,33,42,As,30-Jun-2013,ALEXANDRU NEGRET and  BALRAJ SINGH,2024-03-21
264.6576,0.0009,58.9,0.420392970921256,0.0000000000112,G,,264.6581,0.0,M1+E2,-0.07,2,0.00718,,34,41,Se,,0,,5/2+,119.78,,5,d,10348992,4320,EC,100,,864.7,9,33,42,As,30-Jun-2013,ALEXANDRU NEGRET and  BALRAJ SINGH,2024-03-21
