energy,unc_en,intensity_%,unc_i,type,start level H-l [sec],start level energy  [keV],  end level energy  [keV],  end level H-l  [sec], multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
61.2265,0.0017,12.15,0.1,0.00000000264,G,,61.22,0.0,M1+(E2),0.045,LT,6.39,,62,83,Sm,,0,,7/2-,340,,3,d,29376000,259200,EC,100,,616,3,61,84,Pm,1-Oct-2008,E. BROWNE and  J. K. TULI,2024-03-22
431.4,0.5,0.000052245,0.0000036702758751897655,,G,0.00000000264,492.55,61.22,,,,,,62,83,Sm,,0,,7/2-,340,,3,d,29376000,259200,EC,100,,616,3,61,84,Pm,1-Oct-2008,E. BROWNE and  J. K. TULI,2024-03-22
492.55,0.07,0.0032805,0.00012446385017345397,,G,,492.55,0.0,,,,,,62,83,Sm,,0,,7/2-,340,,3,d,29376000,259200,EC,100,,616,3,61,84,Pm,1-Oct-2008,E. BROWNE and  J. K. TULI,2024-03-22
6.109,,22.2751948441968,0.9244738379348441,,X,,,,,,,,,62,83,Sm,,0,,7/2-,340,,3,d,29376000,259200,EC,100,,616,3,61,84,Pm,1-Oct-2008,E. BROWNE and  J. K. TULI,2024-03-22
38.171,,38.84687524970449,0.4635468255870539,,X,,,,,,,,,62,83,Sm,,0,,7/2-,340,,3,d,29376000,259200,EC,100,,616,3,61,84,Pm,1-Oct-2008,E. BROWNE and  J. K. TULI,2024-03-22
38.724,,70.52809595080699,0.7783290943353599,,X,,,,,,,,,62,83,Sm,,0,,7/2-,340,,3,d,29376000,259200,EC,100,,616,3,61,84,Pm,1-Oct-2008,E. BROWNE and  J. K. TULI,2024-03-22
43.934,,21.86629296952151,0.34019815046178525,,X,,,,,,,,,62,83,Sm,,0,,7/2-,340,,3,d,29376000,259200,EC,100,,616,3,61,84,Pm,1-Oct-2008,E. BROWNE and  J. K. TULI,2024-03-22
44.387,,27.485930262688534,0.41341656557425516,,X,,,,,,,,,62,83,Sm,,0,,7/2-,340,,3,d,29376000,259200,EC,100,,616,3,61,84,Pm,1-Oct-2008,E. BROWNE and  J. K. TULI,2024-03-22
44.938,,5.619637293167028,0.13999119898816437,,X,,,,,,,,,62,83,Sm,,0,,7/2-,340,,3,d,29376000,259200,EC,100,,616,3,61,84,Pm,1-Oct-2008,E. BROWNE and  J. K. TULI,2024-03-22

