energy,unc_en,intensity_%,unc_i,type,start level H-l [sec],start level energy  [keV],  end level energy  [keV],  end level H-l  [sec], multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
160.33,0.05,0.00192,0.000395818,6.1E-10,G,,160.33,0,M1+E2,0.078,10,0.1668,,50,73,Sn,,0,,11/2-,129.2,,5,d,11162880,43200,B-,100,,1408.2,24,51,72,Sb,15-Apr-21,Jun Chen,22/03/2024
1021,0.2,0.001926,0.000396982,,G,6.1E-10,1181.28,160.33,,,,,,50,73,Sn,,0,,11/2-,129.2,,5,d,11162880,43200,B-,100,,1408.2,24,51,72,Sb,15-Apr-21,Jun Chen,22/03/2024
1030.23,0.1,0.03102,0.006318989,1.9E-13,G,,1030.23,0,,,,,,50,73,Sn,,0,,11/2-,129.2,,5,d,11162880,43200,B-,100,,1408.2,24,51,72,Sb,15-Apr-21,Jun Chen,22/03/2024
1088.64,0.1,0.6,0.12,5.2E-13,G,,1088.65,0,,,,,,50,73,Sn,,0,,11/2-,129.2,,5,d,11162880,43200,B-,100,,1408.2,24,51,72,Sb,15-Apr-21,Jun Chen,22/03/2024
1100.5,0.4,0.000084,4.52354E-05,,G,6.1E-10,1260.9,160.33,,,,,,50,73,Sn,,0,,11/2-,129.2,,5,d,11162880,43200,B-,100,,1408.2,24,51,72,Sb,15-Apr-21,Jun Chen,22/03/2024
1177.06,0.2,0.000228,5.15302E-05,,G,6.1E-10,1337.42,160.33,,,,,,50,73,Sn,,0,,11/2-,129.2,,5,d,11162880,43200,B-,100,,1408.2,24,51,72,Sb,15-Apr-21,Jun Chen,22/03/2024
1181.23,0.2,0.000294,6.60109E-05,,G,,1181.28,0,,,,,,50,73,Sn,,0,,11/2-,129.2,,5,d,11162880,43200,B-,100,,1408.2,24,51,72,Sb,15-Apr-21,Jun Chen,22/03/2024
1260.9,0.4,0.000054,3.18848E-05,,G,,1260.9,0,,,,,,50,73,Sn,,0,,11/2-,129.2,,5,d,11162880,43200,B-,100,,1408.2,24,51,72,Sb,15-Apr-21,Jun Chen,22/03/2024
1337.44,0.2,0.000756,0.000156925,,G,,1337.42,0,,,,,,50,73,Sn,,0,,11/2-,129.2,,5,d,11162880,43200,B-,100,,1408.2,24,51,72,Sb,15-Apr-21,Jun Chen,22/03/2024
3.941,,2.31361E-05,4.3185E-06,,X,,,,,,,,,50,73,Sn,,0,,11/2-,129.2,,5,d,11162880,43200,B-,100,,1408.2,24,51,72,Sb,15-Apr-21,Jun Chen,22/03/2024
26.111,,6.82757E-05,1.40831E-05,,X,,,,,,,,,50,73,Sn,,0,,11/2-,129.2,,5,d,11162880,43200,B-,100,,1408.2,24,51,72,Sb,15-Apr-21,Jun Chen,22/03/2024
26.359,,0.000127475,2.62873E-05,,X,,,,,,,,,50,73,Sn,,0,,11/2-,129.2,,5,d,11162880,43200,B-,100,,1408.2,24,51,72,Sb,15-Apr-21,Jun Chen,22/03/2024
29.821,,3.62634E-05,7.48861E-06,,X,,,,,,,,,50,73,Sn,,0,,11/2-,129.2,,5,d,11162880,43200,B-,100,,1408.2,24,51,72,Sb,15-Apr-21,Jun Chen,22/03/2024
30.069,,4.37699E-05,9.03694E-06,,X,,,,,,,,,50,73,Sn,,0,,11/2-,129.2,,5,d,11162880,43200,B-,100,,1408.2,24,51,72,Sb,15-Apr-21,Jun Chen,22/03/2024
30.387,,7.50651E-06,1.56071E-06,,X,,,,,,,,,50,73,Sn,,0,,11/2-,129.2,,5,d,11162880,43200,B-,100,,1408.2,24,51,72,Sb,15-Apr-21,Jun Chen,22/03/2024
