energy,unc_en,intensity_%,unc_i,type,start level H-l [sec],start level energy  [keV],  end level energy  [keV],  end level H-l  [sec], multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
31.7377,0.0005,0.873952,0.021236878,1.12E-09,G,1.71E-12,1289.1498,1257.4121,E1,,,1.628,,73,109,Ta,,0,,3-,114.74,,12,d,9913536,10368,B-,100,,1815.5,15,74,108,W,15-Jul-15,BALRAJ SINGH,22/03/2024
42.7148,0.0004,0.267824,0.005671086,7.8E-11,G,6E-10,1373.8301,1331.1153,E1,,,0.72,,73,109,Ta,,0,,3-,114.74,,12,d,9913536,10368,B-,100,,1815.5,15,74,108,W,15-Jul-15,BALRAJ SINGH,22/03/2024
44.66,0.11,0.029954,0.005991186,4.9E-11,G,3.2E-13,1487.5018,1442.836,[E1],,,0.637,,73,109,Ta,,0,,3-,114.74,,12,d,9913536,10368,B-,100,,1815.5,15,74,108,W,15-Jul-15,BALRAJ SINGH,22/03/2024
65.72215,0.00015,3.01302,0.032445188,1.27E-09,G,4.9E-11,1553.224,1487.5018,M1+E2,0.093,6,2.91,,73,109,Ta,,0,,3-,114.74,,12,d,9913536,10368,B-,100,,1815.5,15,74,108,W,15-Jul-15,BALRAJ SINGH,22/03/2024
67.7497,0.0001,42.92232,0.365623185,1.12E-09,G,4.34E-13,1289.1498,1221.4001,E1,,,0.202,,73,109,Ta,,0,,3-,114.74,,12,d,9913536,10368,B-,100,,1815.5,15,74,108,W,15-Jul-15,BALRAJ SINGH,22/03/2024
84.68024,0.00026,2.653572,0.018621304,7.8E-11,G,1.12E-09,1373.8301,1289.1498,M1+E2,0.326,11,7.66,,73,109,Ta,,0,,3-,114.74,,12,d,9913536,10368,B-,100,,1815.5,15,74,108,W,15-Jul-15,BALRAJ SINGH,22/03/2024
100.10595,0.00007,14.20172,0.11052663,1.4E-09,G,,100.10598,0,E2,,,3.89,,73,109,Ta,,0,,3-,114.74,,12,d,9913536,10368,B-,100,,1815.5,15,74,108,W,15-Jul-15,BALRAJ SINGH,22/03/2024
110.393,0.012,0.107482,0.003180972,1.27E-09,G,3.2E-13,1553.224,1442.836,[E1],,,0.29,,73,109,Ta,,0,,3-,114.74,,12,d,9913536,10368,B-,100,,1815.5,15,74,108,W,15-Jul-15,BALRAJ SINGH,22/03/2024
113.6717,0.00022,1.8708916,0.009464127,4.9E-11,G,7.8E-11,1487.5018,1373.8301,M1+E2,0.36,1,3.18,,73,109,Ta,,0,,3-,114.74,,12,d,9913536,10368,B-,100,,1815.5,15,74,108,W,15-Jul-15,BALRAJ SINGH,22/03/2024
116.4179,0.0006,0.444024,0.003665329,7.8E-11,G,1.71E-12,1373.8301,1257.4121,E1,,,0.253,,73,109,Ta,,0,,3-,114.74,,12,d,9913536,10368,B-,100,,1815.5,15,74,108,W,15-Jul-15,BALRAJ SINGH,22/03/2024
121.5,,0.00236108,0.000634343,1.71E-12,G,,1257.4121,1135.91,[E2],,,1.83,,73,109,Ta,,0,,3-,114.74,,12,d,9913536,10368,B-,100,,1815.5,15,74,108,W,15-Jul-15,BALRAJ SINGH,22/03/2024
152.42991,0.00026,7.016284,0.038672455,7.8E-11,G,4.34E-13,1373.8301,1221.4001,E1,,,0.1258,,73,109,Ta,,0,,3-,114.74,,12,d,9913536,10368,B-,100,,1815.5,15,74,108,W,15-Jul-15,BALRAJ SINGH,22/03/2024
156.3864,0.0003,2.671192,0.012187669,4.9E-11,G,6E-10,1487.5018,1331.1153,E1,,,0.1177,,73,109,Ta,,0,,3-,114.74,,12,d,9913536,10368,B-,100,,1815.5,15,74,108,W,15-Jul-15,BALRAJ SINGH,22/03/2024
179.39381,0.00025,3.11874,0.015774144,1.27E-09,G,7.8E-11,1553.224,1373.8301,M1+E2,1.3,2,0.62,,73,109,Ta,,0,,3-,114.74,,12,d,9913536,10368,B-,100,,1815.5,15,74,108,W,15-Jul-15,BALRAJ SINGH,22/03/2024
198.35187,0.00029,1.4649268,0.006546081,4.9E-11,G,1.12E-09,1487.5018,1289.1498,E2,,,0.317,,73,109,Ta,,0,,3-,114.74,,12,d,9913536,10368,B-,100,,1815.5,15,74,108,W,15-Jul-15,BALRAJ SINGH,22/03/2024
222.1085,0.0003,7.566028,0.030058696,1.27E-09,G,6E-10,1553.224,1331.1153,E1,,,0.048,,73,109,Ta,,0,,3-,114.74,,12,d,9913536,10368,B-,100,,1815.5,15,74,108,W,15-Jul-15,BALRAJ SINGH,22/03/2024
229.3207,0.0006,3.643816,0.016343904,6.2E-11,G,1.4E-09,329.4268,100.10598,E2,,,0.196,,73,109,Ta,,0,,3-,114.74,,12,d,9913536,10368,B-,100,,1815.5,15,74,108,W,15-Jul-15,BALRAJ SINGH,22/03/2024
264.074,0.0003,3.6121,0.016307582,1.27E-09,G,1.12E-09,1553.224,1289.1498,E2,,,0.1254,,73,109,Ta,,0,,3-,114.74,,12,d,9913536,10368,B-,100,,1815.5,15,74,108,W,15-Jul-15,BALRAJ SINGH,22/03/2024
351.02,0.06,0.01131204,0.000881374,8.2E-12,G,6.2E-11,680.45,329.4268,E2,,,0.0538,,73,109,Ta,,0,,3-,114.74,,12,d,9913536,10368,B-,100,,1815.5,15,74,108,W,15-Jul-15,BALRAJ SINGH,22/03/2024
829.9,0.4,0.014096,0.002819382,,G,8.2E-12,1510.25,680.45,[E2],,,0.00661,,73,109,Ta,,0,,3-,114.74,,12,d,9913536,10368,B-,100,,1815.5,15,74,108,W,15-Jul-15,BALRAJ SINGH,22/03/2024
891.7,0.1,0.0574412,0.002470244,4.34E-13,G,6.2E-11,1221.4001,329.4268,E2,,,0.00569,,73,109,Ta,,0,,3-,114.74,,12,d,9913536,10368,B-,100,,1815.5,15,74,108,W,15-Jul-15,BALRAJ SINGH,22/03/2024
928,0.04,0.6135284,0.005126432,1.71E-12,G,6.2E-11,1257.4121,329.4268,E2,,,0.00524,,73,109,Ta,,0,,3-,114.74,,12,d,9913536,10368,B-,100,,1815.5,15,74,108,W,15-Jul-15,BALRAJ SINGH,22/03/2024
959.73,0.03,0.3495808,0.003956801,1.12E-09,G,6.2E-11,1289.1498,329.4268,M2+E3,-5.5,15,0.0116,,73,109,Ta,,0,,3-,114.74,,12,d,9913536,10368,B-,100,,1815.5,15,74,108,W,15-Jul-15,BALRAJ SINGH,22/03/2024
