energy,unc_en,intensity_%,unc_i,type,start level H-l [sec],start level energy  [keV],  end level energy  [keV],  end level H-l  [sec], multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
1.11,0.05,,,,G,,,,,,,,,65,95,Tb,,0,,3-,72.3,,2,d,6246720,17280,B-,100,,1836.0,11,66,94,Dy,1-May-2021,N. NICA,2024-03-22
10.05,0.25,,,,G,,,,,,,,,65,95,Tb,,0,,3-,72.3,,2,d,6246720,17280,B-,100,,1836.0,11,66,94,Dy,1-May-2021,N. NICA,2024-03-22
86.7877,0.0003,13.1537,0.2885220962075522,0.00000000202,G,,86.7877,0.0,E2,,,4.63,,65,95,Tb,,0,,3-,72.3,,2,d,6246720,17280,B-,100,,1836.0,11,66,94,Dy,1-May-2021,N. NICA,2024-03-22
93.919,0.006,0.056588,0.0021293238363386626,0.0000000027,G,0.00000000001,1358.666,1264.7470,E2,,,3.43,,65,95,Tb,,0,,3-,72.3,,2,d,6246720,17280,B-,100,,1836.0,11,66,94,Dy,1-May-2021,N. NICA,2024-03-22
176.49,0.03,0.0061705,0.0003532084512012701,,G,0.0000000027,1535.151,1358.666,(E2),,,0.360,,65,95,Tb,,0,,3-,72.3,,2,d,6246720,17280,B-,100,,1836.0,11,66,94,Dy,1-May-2021,N. NICA,2024-03-22
197.0341,0.001,5.18322,0.10681240798708734,0.000000000103,G,0.00000000202,283.8220,86.7877,E2,,,0.248,,65,95,Tb,,0,,3-,72.3,,2,d,6246720,17280,B-,100,,1836.0,11,66,94,Dy,1-May-2021,N. NICA,2024-03-22
215.6452,0.0011,4.01835,0.08150161041353723,0.00000000001,G,,1264.7470,1049.1017,E1,,,0.0399,,65,95,Tb,,0,,3-,72.3,,2,d,6246720,17280,B-,100,,1836.0,11,66,94,Dy,1-May-2021,N. NICA,2024-03-22
230.628,0.013,0.080668,0.0018441998264830198,,G,,1386.436,1155.812,(E1),,,0.0335,,65,95,Tb,,0,,3-,72.3,,2,d,6246720,17280,B-,100,,1836.0,11,66,94,Dy,1-May-2021,N. NICA,2024-03-22
237.64,0.09,0.00602,0.0021104144142798115,,G,,1286.694,1049.1017,,,,,,65,95,Tb,,0,,3-,72.3,,2,d,6246720,17280,B-,100,,1836.0,11,66,94,Dy,1-May-2021,N. NICA,2024-03-22
239.7,0.6,0.002107,0.0009039762165012972,,G,,1288.66,1049.1017,E2,,,0.1305,,65,95,Tb,,0,,3-,72.3,,2,d,6246720,17280,B-,100,,1836.0,11,66,94,Dy,1-May-2021,N. NICA,2024-03-22
