energy,unc_en,intensity_%,unc_i,type,start level H-l [sec],start level energy  [keV],  end level energy  [keV],  end level H-l  [sec], multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
11.1,0.1,12.312,2.058865707130992,,G,,111.60,100.50,,,,,,90,139,Th,,0,,5/2+,7880,,120,Y,248668576679.78497,3786831116.95104,A,100,,5167.6,10,88,137,Ra,1-Dec-2008,A. K. Jain (a) and  R. Raut (b) and  J. K. Tuli,2024-03-22
11.79,0.2,0.000513,0.0000070000018797783196,,G,,604.51,592.79,,,,,,90,139,Th,,0,,5/2+,7880,,120,Y,248668576679.78497,3786831116.95104,A,100,,5167.6,10,88,137,Ra,1-Dec-2008,A. K. Jain (a) and  R. Raut (b) and  J. K. Tuli,2024-03-22
17.36,0.03,0.18468,0.09237437956489884,0.000000003,G,0.00000000088,42.77,25.41,(M1),,,140.6,,90,139,Th,,0,,5/2+,7880,,120,Y,248668576679.78497,3786831116.95104,A,100,,5167.6,10,88,137,Ra,1-Dec-2008,A. K. Jain (a) and  R. Raut (b) and  J. K. Tuli,2024-03-22
19.08,0.2,0.22572,0.03093371623326237,,G,,,,,,,,,90,139,Th,,0,,5/2+,7880,,120,Y,248668576679.78497,3786831116.95104,A,100,,5167.6,10,88,137,Ra,1-Dec-2008,A. K. Jain (a) and  R. Raut (b) and  J. K. Tuli,2024-03-22
21.58,0.02,0.007182,0.010260468020514463,,G,,,,,,,,,90,139,Th,,0,,5/2+,7880,,120,Y,248668576679.78497,3786831116.95104,A,100,,5167.6,10,88,137,Ra,1-Dec-2008,A. K. Jain (a) and  R. Raut (b) and  J. K. Tuli,2024-03-22
23.6,,0.0012312,0.00010396634070698074,,G,0.0000000021,55.16,31.56,(M1+E2),,,241,,90,139,Th,,0,,5/2+,7880,,120,Y,248668576679.78497,3786831116.95104,A,100,,5167.6,10,88,137,Ra,1-Dec-2008,A. K. Jain (a) and  R. Raut (b) and  J. K. Tuli,2024-03-22
25.39,0.02,0.008208,0.004105527980662171,0.00000000088,G,1278720,25.41,0.0,(E2),,,7377,,90,139,Th,,0,,5/2+,7880,,120,Y,248668576679.78497,3786831116.95104,A,100,,5167.6,10,88,137,Ra,1-Dec-2008,A. K. Jain (a) and  R. Raut (b) and  J. K. Tuli,2024-03-22
27.5,0.02,0.034884,0.017448493917814226,,G,,,,,,,,,90,139,Th,,0,,5/2+,7880,,120,Y,248668576679.78497,3786831116.95104,A,100,,5167.6,10,88,137,Ra,1-Dec-2008,A. K. Jain (a) and  R. Raut (b) and  J. K. Tuli,2024-03-22
28.68,0.1,0.1026,0.030811822406342667,,G,,272.15,243.56,,,,,,90,139,Th,,0,,5/2+,7880,,120,Y,248668576679.78497,3786831116.95104,A,100,,5167.6,10,88,137,Ra,1-Dec-2008,A. K. Jain (a) and  R. Raut (b) and  J. K. Tuli,2024-03-22
29.9,0.1,0.002052,0.000028000751901332937,,G,,149.96,120.36,,,,,,90,139,Th,,0,,5/2+,7880,,120,Y,248668576679.78497,3786831116.95104,A,100,,5167.6,10,88,137,Ra,1-Dec-2008,A. K. Jain (a) and  R. Raut (b) and  J. K. Tuli,2024-03-22
