energy,unc_en,intensity_%,unc_i,type,start level H-l [sec],start level energy  [keV],  end level energy  [keV],  end level H-l  [sec], multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
49.55,0.06,0.064,0.008,3.7E-10,G,,49.55,0,E2,,,326.4,,92,146,U,,0,,0+,4.47E+09,,6,Y,1.41E+17,1.89342E+14,A,100,,4269.9,21,90,144,Th,01-Jun-06,E. BROWNE and  J. K. TULI,22/03/2024
113.5,0.1,0.0102,0.0015,,G,3.7E-10,163,49.55,[E2],,,6.63,,92,146,U,,0,,0+,4.47E+09,,6,Y,1.41E+17,1.89342E+14,A,100,,4269.9,21,90,144,Th,01-Jun-06,E. BROWNE and  J. K. TULI,22/03/2024
15.784,,7.322619622,0.958956884,,X,,,,,,,,,92,146,U,,0,,0+,4.47E+09,,6,Y,1.41E+17,1.89342E+14,A,100,,4269.9,21,90,144,Th,01-Jun-06,E. BROWNE and  J. K. TULI,22/03/2024
89.954,,0.000691568,0.000102267,,X,,,,,,,,,92,146,U,,0,,0+,4.47E+09,,6,Y,1.41E+17,1.89342E+14,A,100,,4269.9,21,90,144,Th,01-Jun-06,E. BROWNE and  J. K. TULI,22/03/2024
93.347,,0.00111868,0.000165365,,X,,,,,,,,,92,146,U,,0,,0+,4.47E+09,,6,Y,1.41E+17,1.89342E+14,A,100,,4269.9,21,90,144,Th,01-Jun-06,E. BROWNE and  J. K. TULI,22/03/2024
105.566,,0.000398065,5.91069E-05,,X,,,,,,,,,92,146,U,,0,,0+,4.47E+09,,6,Y,1.41E+17,1.89342E+14,A,100,,4269.9,21,90,144,Th,01-Jun-06,E. BROWNE and  J. K. TULI,22/03/2024
106.894,,0.000532213,7.90009E-05,,X,,,,,,,,,92,146,U,,0,,0+,4.47E+09,,6,Y,1.41E+17,1.89342E+14,A,100,,4269.9,21,90,144,Th,01-Jun-06,E. BROWNE and  J. K. TULI,22/03/2024
108.58,,0.000134148,2.00182E-05,,X,,,,,,,,,92,146,U,,0,,0+,4.47E+09,,6,Y,1.41E+17,1.89342E+14,A,100,,4269.9,21,90,144,Th,01-Jun-06,E. BROWNE and  J. K. TULI,22/03/2024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
