energy,unc_en,intensity_%,unc_i,type,start level H-l [sec],start level energy  [keV],  end level energy  [keV],  end level H-l  [sec], multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
125.358,0.003,0.0192,0.0007,,G,,125.358,0,M1+E2,0.18,1,2.76,,74,111,W,,0,,3/2-,75.1,,3,d,6488640,25920,B-,100,,431.2,7,75,110,Re,01-Nov-05,S. -C. WU,22/03/2024
10.063,,0.012726895,0.000668762,,X,,,,,,,,,74,111,W,,0,,3/2-,75.1,,3,d,6488640,25920,B-,100,,431.2,7,75,110,Re,01-Nov-05,S. -C. WU,22/03/2024
59.718,,0.011961131,0.000474528,,X,,,,,,,,,74,111,W,,0,,3/2-,75.1,,3,d,6488640,25920,B-,100,,431.2,7,75,110,Re,01-Nov-05,S. -C. WU,22/03/2024
61.141,,0.020693999,0.000816089,,X,,,,,,,,,74,111,W,,0,,3/2-,75.1,,3,d,6488640,25920,B-,100,,431.2,7,75,110,Re,01-Nov-05,S. -C. WU,22/03/2024
69.395,,0.006878802,0.000290961,,X,,,,,,,,,74,111,W,,0,,3/2-,75.1,,3,d,6488640,25920,B-,100,,431.2,7,75,110,Re,01-Nov-05,S. -C. WU,22/03/2024
70.206,,0.00878423,0.000369961,,X,,,,,,,,,74,111,W,,0,,3/2-,75.1,,3,d,6488640,25920,B-,100,,431.2,7,75,110,Re,01-Nov-05,S. -C. WU,22/03/2024
71.195,,0.001905428,8.76281E-05,,X,,,,,,,,,74,111,W,,0,,3/2-,75.1,,3,d,6488640,25920,B-,100,,431.2,7,75,110,Re,01-Nov-05,S. -C. WU,22/03/2024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
